类别,图鉴条目,actor,中文名,英文名,来源,是否命中
水果,IsNewPictureBook_Item_Fruit_H,Item_Fruit_H,大剑香蕉,Mighty Bananas,Item.msbt,是
水果,IsNewPictureBook_Item_Fruit_I,Item_Fruit_I,暖暖草果,Spicy Pepper,Item.msbt,是
水果,IsNewPictureBook_Item_Fruit_J,Item_Fruit_J,铠甲南瓜,Fortified Pumpkin,Item.msbt,是
矿物,IsNewPictureBook_Obj_Mineral_A_01,Obj_Mineral_A_01,矿床,Ore Deposit,Item.msbt,是
矿物,IsNewPictureBook_Obj_Mineral_B_01,Obj_Mineral_B_01,稀有矿床,Rare Ore Deposit,Item.msbt,是
矿物,IsNewPictureBook_Obj_Mineral_C_01,Obj_Mineral_C_01,夜光矿床,Luminous Stone Deposit,Item.msbt,是
蘑菇,IsNewPictureBook_Item_MushroomGet_D,Item_MushroomGet_D,速速蘑菇,Rushroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_A,Item_Mushroom_A,精力蘑菇,Stamella Shroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_B,Item_Mushroom_B,冰冷蘑菇,Chillshroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_C,Item_Mushroom_C,暖暖蘑菇,Sunshroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_E,Item_Mushroom_E,海拉鲁蘑菇,Hylian Shroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_F,Item_Mushroom_F,生命松露,Hearty Truffle,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_H,Item_Mushroom_H,酥麻蘑菇,Zapshroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_J,Item_Mushroom_J,潜行蘑菇,Silent Shroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_L,Item_Mushroom_L,大剑蘑菇,Razorshroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_M,Item_Mushroom_M,铠甲蘑菇,Ironshroom,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_N,Item_Mushroom_N,大生命松露,Big Hearty Truffle,Item.msbt,是
蘑菇,IsNewPictureBook_Item_Mushroom_O,Item_Mushroom_O,毅力蘑菇,Endura Shroom,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_A,Item_FishGet_A,海拉鲁鲈鱼,Hyrule Bass,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_B,Item_FishGet_B,生命鲈鱼,Hearty Bass,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_C,Item_FishGet_C,冰冷鳟鱼,Chillfin Trout,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_D,Item_FishGet_D,酥麻鳟鱼,Voltfin Trout,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_E,Item_FishGet_E,大剑鲤鱼,Mighty Carp,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_F,Item_FishGet_F,大剑鲷鱼,Mighty Porgy,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_G,Item_FishGet_G,铠甲鲷鱼,Armored Porgy,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_H,Item_FishGet_H,铠甲鲤鱼,Armored Carp,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_I,Item_FishGet_I,生命三文鱼,Hearty Salmon,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_J,Item_FishGet_J,暖暖鳟鱼,Sizzlefin Trout,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_K,Item_FishGet_K,生命海螺,Hearty Blueshell Snail,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_L,Item_FishGet_L,精力鲈鱼,Staminoka Bass,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_M,Item_FishGet_M,潜行田螺,Sneaky River Snail,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_X,Item_FishGet_X,潜行鳟鱼,Stealthfin Trout,Item.msbt,是
鱼,IsNewPictureBook_Item_FishGet_Z,Item_FishGet_Z,三色鲤鱼,Sanke Carp,Item.msbt,是
