No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
156,垒石·石圈,text,储水池遗迹,"-664.4, -544.4",,,Complete the rock spiral.,Korok156.jpg
157,搬石头,text,欧荷利桥,"-764.4, -607.6",,,Bomb the wall and pick up the rock.,Korok157.jpg
158,垒石·石圈,text,砕石场遗迹,"-798.4, -560.0",,,"Complete the rock circle. The rock is in the direction of the gap in the circle, to the north.",Korok158.jpg
159,垒石·石圈,text,腾图丘陵,"2140.0, 3531.6",,,"Grab the boulder at the center of the rock ring west of here, and place it in the empty spot.",Korok159.jpg
160,垒石·石圈,text,Lake Hylia (Breath of the Wild),"-65.6, 2332.4",,,Stand on the edge of the bridge at the north end. Toss a boulder down into the ring of rocks in the water below.,Korok160.jpg
161,赛跑·树桩,text,乌拉伊特湖,"1785.6, 3009.0","1777.0, 3057.8",是,"Stand on the seed platform at the base of the waterfall, then swim up the waterfall using Zora Armor.",Korok161.jpg
162,精灵光点,text,花柔莉亚河,"807.0, 3116.4",,,Catch the fairy lights.,Korok162.jpg
163,磁铁·方块拼图,text,左纳乌遗迹群,"823.6, 3008.0",,,"Put a boulder on each of the three islands here. The boulders are magnetic, but two of them are chained together. Use Stasis to hold one of the chained boulders in place while you place the other.",Korok163.jpg
164,食物祭品,text,费罗龙台地,"588.0, 2675.0",,,Remove fruit from the tree with too many to make it match.,Korok164.jpg
165,推石入坑,text,谢拉湖,"1638.0, 1375.6",,,Toss a boulder into the circle of rocks found in the lake.,Korok165.jpg
166,搬石头,text,Arbiter's Grounds (Breath of the Wild),"-4306.4, 3461.6",,,Pick up the rock.,Korok166.jpg
167,磁铁·方块拼图,text,茹特拉河,"2923.0, 333.0",,,Use Magnesis to solve the block puzzle.,Korok167.jpg
168,食物祭品,text,Arbiter's Grounds (Breath of the Wild),"-4345.0, 3714.0",,,Grab fruit from the cactus with extra until they match.,Korok168.jpg
169,精灵光点,manual,露朵山,"3208.4, 24.0",,,,Korok169.jpg
170,精灵光点,manual,格鲁德大化石,"-4861.0, 3833.0",,,Climb to the highest point on the skeleton.,Korok170.jpg
171,搬石头,text,东格鲁德,"-2549.6, 3952.0",,,Pick up the rock on top of the pillar.,Korok171.jpg
172,赛跑·树桩,text,东格鲁德,"-2448.4, 3752.0","-2591.2, 3543.4",是,The seed platform for this race is on the arch to the northwest.,Korok172.jpg
173,垒石·石圈,text,东格鲁德,"-3030.4, 3755.0",,,Complete the rock circle.,Korok173.jpg
174,食物祭品,text,南部绿洲,"-3287.0, 3785.6",,,Remove fruit from the cactus with extra until it matches.,Korok174.jpg
175,磁铁·方块拼图,text,东格鲁德,"-2632.4, 3303.0",,,Solve the Magnesis block puzzle inside the skull rock. The cube to use is on the ceiling.,Korok175.jpg
176,磁铁·方块拼图,text,帕鲁荒原,"-2919.0, 3061.6",,,"Solve the Magnesis block puzzle. If you're having trouble putting the block in, try lining a corner up with the hole in the puzzle.",Korok176.jpg
177,食物祭品,text,东部格鲁德遗迹,"-2684.4, 2930.0",,,At the very top of the statue.,Korok177.jpg
178,射气球,text,东部格鲁德遗迹,"-2629.0, 2749.6",,,Shoot the balloon in between the statue's wrists.,Korok178.jpg
179,搬石头,text,Spectacle Rock (Breath of the Wild),"-2300.0, 2848.4",,,Pick up the rock on top of the pillar.,Korok179.jpg
180,搬石头,text,卓拉大桥,"3293.6, -260.4",,,Pick up the rock.,Korok180.jpg
181,射气球,text,卡斯拉山,"-3331.6, -2299.6",,,Shoot the balloons while standing near the pinwheel.,Korok181.jpg
182,磁铁·方块拼图,text,亚娜谷,"-2023.0, 2880.0",,,Solve the large Magnesis Block puzzle.,Korok182.jpg
183,垒石·石圈,text,亚娜谷,"-1936.4, 2671.6",,,"Not counting the rock in the middle, two of these lines have only 8 rocks in them. Put the 2 extra rocks at the east and southwest arms to finish the pattern.",Korok183.jpg
184,搬石头,text,东格鲁德高地,"-1461.6, 2953.6",,,Pick up the rock.,Korok184.jpg
185,搬石头,text,东格鲁德高地,"-1539.6, 3071.0",,,Bomb the rocks and pick up the one underneath.,Korok185.jpg
186,垒石·石圈,text,东格鲁德高地,"-1599.0, 3099.0",,,Complete the rock pattern.,Korok186.jpg
187,磁铁·方块拼图,text,贝立德关卡,"-2172.0, 3201.6",,,Solve the Magnesis block puzzle.,Korok187.jpg
188,搬石头,text,贝立德关卡,"-1925.0, 3279.6",,,Climb the pillar and pick up the rock.,Korok188.jpg
189,搬石头,text,拉聂尔参道中央广场,"2705.0, 1167.0",,,Lift the rock at the center of the promenade.,Korok189.jpg
190,跳水环,text,卡伊更池塘,"3179.0, 1605.0",,,Jump or dive into the ring of flowers.,Korok190.jpg
191,跳水环,text,卡伊更台地,"3173.6, 1488.4",,,Jump or dive into the ring of flowers.,Korok191.jpg
192,推石入坑,text,阿莫西亚海岸,"4442.0, 1437.6",,,Roll a large boulder into the hole. The Stasis rune may help if the boulder misses the mark.,Korok192.jpg
193,射气球,text,阿莫西亚海岸,"4617.0, 1921.0",,,"Lift the big rock (using Stasis or an Octo Balloon), and then pick up the small rock under it.",Korok193.jpg
194,射气球,text,卡艾德半岛,"4513.0, 2311.6",,,Stand near the pinwheel and shoot down all three balloon targets.,Korok194.jpg
195,搬石头,text,伊格尔斯桥,"961.0, 941.0",,,Pick up the rock found underneath the bridge.,Korok195.jpg
196,垒石·石圈,text,卡艾德半岛,"4535.6, 2521.0",,,Fill in all three missing spots in the ring of rocks.,Korok196.jpg
197,食物祭品,text,特洽湖,"1600.4, 810.4",,,"At water level, in the cave, drop an apple into the offering bowl.",Korok197.jpg
198,追花,text,卡艾德半岛,"4659.0, 2380.0","4594.9, 2520.4",是,Follow the yellow flower trail up the hill.,Korok198.jpg
199,跳水环,text,Kakariko Village (Breath of the Wild),"1775.0, 963.0","1806.4, 989.1",是,Jump into the circle of lilies.,Korok199.jpg
200,搬石头,text,Kakariko Village (Breath of the Wild),"1794.0, 1051.6",,,"Climb up to this ledge, and lift the rock.",Korok200.jpg
201,射箭·射靶,text,Kakariko Village (Breath of the Wild),"1799.6, 1076.0",,,Shoot this emblem.,Korok201.jpg
202,射箭·射靶,text,Kakariko Village (Breath of the Wild),"1957.0, 1060.0",,,Shoot this emblem.,Korok202.jpg
203,搬石头,text,纳利夏高地,"1938.4, 1112.4",,,"On the upper ledge, lift this rock.",Korok203.jpg
204,食物祭品,text,利利特特湖,"-3778.4, -1865.0",,,Climb up into the hollow top of the stone pillar and place an apple in the empty basket by the statue.,Korok204.jpg
205,射气球,text,利特村,"-3628.4, -1804.4",,,Shoot the balloon in the heart shaped opening next to vah medoh.,Korok205.jpg
206,精灵光点,manual,谢拉湖,"2207.6, 1374.4",,,Climb to the top of the tallest tree here.,Korok206.jpg
207,搬石头,text,纳利夏高地,"1933.6, 1220.4",,,"Climb to the top, and lift up the rock.",Korok207.jpg
208,搬石头,text,纳利夏高地,"1739.0, 1185.6",,,"Climb to the top, and lift up the rock.",Korok208.jpg
209,食物祭品,text,纳利夏高地,"1672.4, 1159.0",,,"Two of these trees have only one apple, make the third look like them.",Korok209.jpg
210,跳水环,text,谢拉湖,"1552.4, 1299.0","1809.2, 994.7",是,Geronimo.,Korok210.jpg
