类别,中文名,图鉴条目,摆放actor,点位数,英文名
蘑菇,暖暖蘑菇,IsNewPictureBook_Item_Mushroom_C,Item_Mushroom_C,118,Sunshroom
水果,生命榴莲,IsNewPictureBook_Item_Fruit_D,Item_Fruit_D,116,Hearty Durian
植物,铠甲草,IsNewPictureBook_Item_PlantGet_H,Item_Plant_H,103,Armoranth
昆虫,速速蛙,IsNewPictureBook_Animal_Insect_A,Animal_Insect_A,102,Hot-Footed Frog
水果,大剑香蕉,IsNewPictureBook_Item_Fruit_H,Item_Fruit_H,98,Mighty Bananas
植物,酥麻香草,IsNewPictureBook_Item_PlantGet_L,Item_Plant_L,89,Electric Safflina
蘑菇,毅力蘑菇,IsNewPictureBook_Item_Mushroom_O,Item_Mushroom_O,87,Endura Shroom
植物,大剑草,IsNewPictureBook_Item_PlantGet_G,Item_Plant_G,86,Mighty Thistle
植物,暖暖香草,IsNewPictureBook_Item_PlantGet_F,Item_Plant_F,78,Warm Safflina
植物,生命大萝卜,IsNewPictureBook_Item_PlantGet_C,Item_Plant_C,63,Big Hearty Radish
鱼,精力鲈鱼,IsNewPictureBook_Item_FishGet_L,Animal_Fish_L,61,Staminoka Bass
蘑菇,大生命松露,IsNewPictureBook_Item_Mushroom_N,Item_Mushroom_N,59,Big Hearty Truffle
昆虫,暖暖蜻蜓,IsNewPictureBook_Animal_Insect_T,Animal_Insect_T,58,Warm Darner
昆虫,速速蜥,IsNewPictureBook_Animal_Insect_S,Animal_Insect_S,55,Hightail Lizard
鱼,生命鲈鱼,IsNewPictureBook_Item_FishGet_B,Animal_Fish_B,46,Hearty Bass
昆虫,冰冷蜻蜓,IsNewPictureBook_Animal_Insect_C,Animal_Insect_C,45,Cold Darner
昆虫,冰冷凤蝶,IsNewPictureBook_Animal_Insect_N,Animal_Insect_N,44,Winterwing Butterfly
昆虫,精力螃蟹,IsNewPictureBook_Item_InsectGet_Z,Animal_Insect_Z,44,Bright-Eyed Crab
鱼,大剑鲤鱼,IsNewPictureBook_Item_FishGet_E,Animal_Fish_E,44,Mighty Carp
鱼,潜行田螺,IsNewPictureBook_Item_FishGet_M,Animal_Fish_M,41,Sneaky River Snail
鱼,铠甲鲤鱼,IsNewPictureBook_Item_FishGet_H,Animal_Fish_H,39,Armored Carp
昆虫,精力蚱蜢,IsNewPictureBook_Animal_Insect_H,Animal_Insect_H,34,Restless Cricket
昆虫,精灵,IsNewPictureBook_Animal_Insect_F,Animal_Insect_F,31,Fairy
昆虫,暖暖凤蝶,IsNewPictureBook_Animal_Insect_Q,Animal_Insect_Q,31,Summerwing Butterfly
植物,毅力胡萝卜,IsNewPictureBook_Item_PlantGet_Q,Item_Plant_Q,30,Endura Carrot
昆虫,耐火蜥,IsNewPictureBook_Animal_Insect_X,Animal_Insect_X,28,Fireproof Lizard
植物,静谧公主,IsNewPictureBook_Item_PlantGet_J,Item_Plant_J,28,Silent Princess
昆虫,大剑独角仙,IsNewPictureBook_Animal_Insect_G,Animal_Insect_G,26,Bladed Rhino Beetle
鱼,冰冷鳟鱼,IsNewPictureBook_Item_FishGet_C,Animal_Fish_C,24,Chillfin Trout
昆虫,酥麻凤蝶,IsNewPictureBook_Animal_Insect_R,Animal_Insect_R,20,Thunderwing Butterfly
昆虫,铠甲独角仙,IsNewPictureBook_Animal_Insect_P,Animal_Insect_P,19,Rugged Rhino Beetle
植物,速速胡萝卜,IsNewPictureBook_Item_PlantGet_M,Item_Plant_M,19,Swift Carrot
鱼,生命海螺,IsNewPictureBook_Item_FishGet_K,Animal_Fish_K,19,Hearty Blueshell Snail
昆虫,大剑螃蟹,IsNewPictureBook_Item_InsectGet_K,Animal_Insect_K,15,Razorclaw Crab
昆虫,精力独角仙,IsNewPictureBook_Animal_Insect_AA,Animal_Insect_AA,13,Energetic Rhino Beetle
昆虫,生命蜥,IsNewPictureBook_Animal_Insect_M,Animal_Insect_M,11,Hearty Lizard
鱼,生命三文鱼,IsNewPictureBook_Item_FishGet_I,Animal_Fish_I,11,Hearty Salmon
水果,铠甲南瓜,IsNewPictureBook_Item_Fruit_J,Item_Fruit_J,8,Fortified Pumpkin
昆虫,酥麻蜻蜓,IsNewPictureBook_Animal_Insect_I,Animal_Insect_I,6,Electric Darner
昆虫,铠甲螃蟹,IsNewPictureBook_Item_InsectGet_O,Animal_Insect_O,6,Ironshell Crab
鱼,三色鲤鱼,IsNewPictureBook_Item_FishGet_Z,Animal_Fish_Z,6,Sanke Carp
鱼,酥麻鳟鱼,IsNewPictureBook_Item_FishGet_D,Animal_Fish_D,5,Voltfin Trout
昆虫,毅力蛙,IsNewPictureBook_Animal_Insect_B,Animal_Insect_B,3,Tireless Frog
昆虫,耐火凤蝶,IsNewPictureBook_Animal_Insect_AB,Animal_Insect_AB,0,Smotherwing Butterfly
鱼,暖暖鳟鱼,IsNewPictureBook_Item_FishGet_J,Animal_Fish_J,0,Sizzlefin Trout
鱼,潜行鳟鱼,IsNewPictureBook_Item_FishGet_X,Animal_Fish_X,0,Stealthfin Trout
