层级,label,中文名,game_x,game_z,px_x,px_y,类别,来源,备注
r4,KumSpa,库姆的秘泉,-4090.5,-2753.0,3819.0,4494.0,温泉/泉,LocationPointer,
r4,KunaiBridge,亚阔桥,-1128.8,1017.1,9742.387999999999,12034.106,桥梁,LocationPointer,
r4,LanayruWestEntrance,拉聂尔神道西口,2304.9,706.6,16609.75,11413.1616,入口/门,LocationPointer,
r4,LittleBrotherBridge,双子弟弟桥,1715.9,2149.6,15431.83,14299.104,桥梁,LocationPointer,
r4,MasazuBridge,欧荷利桥,-614.2,-658.6,10771.54,8682.8852,桥梁,LocationPointer,
r4,MinakkareBridge,南阿卡莱桥,3686.6,-1003.6,19373.126,7992.882,桥梁,LocationPointer,
r4,MinakkareBridgeEast,东南阿卡莱桥,3860.8,-1095.1,19721.602,7809.776,桥梁,LocationPointer,
r4,MinakkareBridgeWest,西南阿卡莱桥,3591.4,-1020.2,19182.744,7959.634,桥梁,LocationPointer,
r4,NantanCastle,南洛美城堡遗迹,-1795.0,3534.8,8410.0,17069.6,遗迹/村落,LocationPointer,
r4,NishojiBridge,古利奥桥,-1305.0,810.0,9390.0,11620.0,桥梁,LocationPointer,
r4,PostTownRuin,海拉鲁驿站村废墟,-246.7,1675.4,11506.625,13350.782,遗迹/村落,LocationPointer,
r4,SaihokuCastle,北洛美城堡遗迹,-825.1,-3411.8,10349.8,3176.3999999999996,遗迹/村落,LocationPointer,
r4,SarjonBridge,撒戎桥,1025.6,3236.3,14051.264,16472.576,桥梁,LocationPointer,
r4,ShigonDam,拉聂尔神道中央广场,2709.5,1163.7,17418.904000000002,12327.342,入口/门,LocationPointer,
r4,SnowStatue,第八位英雄的雕像,-4355.1,499.0,3289.8019999999997,10998.0406,其他,LocationPointer,
r4,TabantaCrater,吉萨的环形山,-3931.3,-1089.5,4137.352,7820.976000000001,其他,LocationPointer,
r4,TabantaVillage,塔邦挞村遗迹,-2319.5,-1918.0,7361.0,6164.0,遗迹/村落,LocationPointer,
r4,WetGarrison,湿地的驻军地遗迹,1520.3,-169.8,15040.528,9660.3088,遗迹/村落,LocationPointer,
r4,WisdomFountain,智慧之泉,3945.6,1343.2,19891.198,12686.45,温泉/泉,LocationPointer,官方中文名(704表)
r4,XekuBridge,德谷多吊桥,-1665.0,1542.0,8670.0,13084.0,桥梁,LocationPointer,
r4,ZonauLegacy,左纳乌遗迹群,842.5,2965.0,13685.0442,15930.036,遗迹/村落,LocationPointer,
