label,官方中文名,game_x,game_z,px_x,px_y,来源,坐标条数
Dungeon028,晓拉·哈神庙,1536.209,-3117.468,15072,3765,LocationMarker,1
Dungeon029,席罗·席拉神庙,854.0031,838.7382,13708,11677,LocationMarker,1
Dungeon030,究尼·希神庙,-2004.008,1675.263,7992,13351,LocationMarker,1
Dungeon031,摩阿·基希托神庙,2723.078,-1165.168,17446,7670,LocationMarker,1
Dungeon032,达科·塔瓦神庙,-3316.802,2162.679,5366,14325,LocationMarker,1
Dungeon033,达塔·库斯神庙,1601.833,462.7538,15204,10926,LocationMarker,1
Dungeon034,玛·卡亚神庙,3437.285,3317.196,18875,16634,LocationMarker,1
Dungeon035,阿科·瓦塔神庙,-3656.033,-1757.7,4688,6485,LocationMarker,1
Dungeon036,希·基托神庙,-3910.613,1653.031,4179,13306,LocationMarker,1
Dungeon037,夏奥·耀神庙,-2930.76,-433.0385,6138,9134,LocationMarker,1
Dungeon038,玛·奥努神庙,-672.4623,1513.63,10655,13027,LocationMarker,1
Dungeon039,米亚马·迦纳神庙,3387.707,2215.13,18775,14430,LocationMarker,1
Dungeon040,亚卡·玛塔神庙,-967.6394,716.8793,10065,11434,LocationMarker,1
Dungeon041,加·巴希夫神庙,-447.6951,1990.182,11105,13980,LocationMarker,1
Dungeon042,利·摩纳神庙,-1720.389,-2554.626,8559,4891,LocationMarker,1
Dungeon043,库伊·塔卡神庙,-3083.613,1221.79,5833,12444,LocationMarker,1
Dungeon044,希贝·尼亚斯神庙,1245.118,1850.441,14490,13701,LocationMarker,1
Dungeon045,哈尤·达玛神庙,1662.967,1922.396,15326,13845,LocationMarker,1
Dungeon046,夏达·阿达神庙,-2998.305,-3220.635,6003,3559,LocationMarker,1
Dungeon047,利·达席神庙,1272.917,1843.91,14546,13688,LocationMarker,1
Dungeon048,吉兹·卡夫伊神庙,3028.298,-1668.015,18057,6664,LocationMarker,1
Dungeon049,卡亚·米瓦神庙,825.1654,187.509,13650,10375,LocationMarker,1
Dungeon050,塞伊·乌托神庙,1586.375,3613.992,15173,17228,LocationMarker,1
Dungeon051,卡玛·拉席神庙,-4058.835,-2508.257,3882,4983,LocationMarker,1
Dungeon052,诺基·米席神庙,-2380.419,-2255.404,7239,5489,LocationMarker,1
Dungeon053,夏·塔瓦神庙,-3822.237,-2206.896,4356,5586,LocationMarker,1
Dungeon054,卡奥·玛卡神庙,522.9542,3525.324,13046,17051,LocationMarker,1
Dungeon055,多恩巴·塔神庙,-2832.063,-1577.131,6336,6846,LocationMarker,1
Dungeon056,米罗·茨席神庙,1230.997,-1212.728,14462,7575,LocationMarker,1
Dungeon057,瓦哥·卡塔神庙,345.5874,1007.769,12691,12016,LocationMarker,1
Dungeon058,摩·拉塔尼阿神庙,-2297.784,461.6641,7404,10923,LocationMarker,1
Dungeon059,卡·奥裘神庙,-4121.399,-414.1998,3757,9172,LocationMarker,1
Dungeon060,古科·齐塞神庙,-3816.314,2819.157,4367,15638,LocationMarker,1
Dungeon061,晓达·萨神庙,1790.257,2992.864,15581,15986,LocationMarker,1
Dungeon062,夏·格玛神庙,-1672.356,-3759.028,8655,2482,LocationMarker,1
Dungeon063,基玛·兹斯神庙,-4673.53,1968.79,2653,13938,LocationMarker,1
Dungeon064,达卡·卡神庙,2064.973,-2327.874,16130,5344,LocationMarker,1
Dungeon065,图米·恩科神庙,-1435.387,1990.706,9129,13981,LocationMarker,1
Dungeon066,卡·姆神庙,4708.564,-1309.511,21417,7381,LocationMarker,1
Dungeon067,丘·拉姆席神庙,1820.241,-1517.903,15640,6964,LocationMarker,1
Dungeon068,亚·纳迦神庙,-329.1666,2600.119,11342,15200,LocationMarker,1
Dungeon069,伊奥·索奥神庙,-985.7891,3564.978,10028,17130,LocationMarker,1
Dungeon070,萨奥·科席神庙,2239.213,-292.43,16478,9415,LocationMarker,1
Dungeon071,普玛·尼特神庙,559.364,2991.178,13119,15982,LocationMarker,1
Dungeon072,达·卡索神庙,-1695.714,1701.026,8609,13402,LocationMarker,1
Dungeon073,卡塔·丘基神庙,-636.0839,-344.1649,10728,9312,LocationMarker,1
Dungeon074,尼阿·奈阿神庙,-952.1733,-623.8846,10096,8752,LocationMarker,1
Dungeon075,达席·希诺神庙,3899.691,-1303.794,19799,7392,LocationMarker,1
Dungeon076,萨萨·卡伊神庙,-3560.287,1953.873,4879,13908,LocationMarker,1
Dungeon077,科尼·希卡神庙,4194.714,-855.908,20389,8288,LocationMarker,1
Dungeon078,米达·罗基神庙,-2743.992,225.7467,6512,10451,LocationMarker,1
Dungeon079,纳米卡·奥兹神庙,760.2905,-821.3871,13521,8357,LocationMarker,1
Dungeon080,希·塔塔恩科神庙,94.99838,3840.943,12190,17682,LocationMarker,1
Dungeon081,姆奥·吉姆神庙,3657.167,3307.993,19314,16616,LocationMarker,1
Dungeon082,洽斯·科塔神庙,4011.483,2989.831,20023,15980,LocationMarker,1
Dungeon083,提纳·裘扎神庙,-3466.357,-447.4994,5067,9105,LocationMarker,1
Dungeon084,茨茨阿·尼玛神庙,3777.255,-2704.069,19555,4592,LocationMarker,1
Dungeon085,基玛·科萨萨神庙,-4657.493,904.9697,2685,11810,LocationMarker,1
Dungeon086,迦奥玛·阿萨神庙,-2793.274,-2882.063,6413,4236,LocationMarker,1
Dungeon087,妙斯·希诺神庙,-3626.71,-3038.259,4747,3923,LocationMarker,1
Dungeon088,席亚·米乌神庙,-4446.018,-3802.419,3108,2395,LocationMarker,1
Dungeon089,萨斯·科萨神庙,-148.3952,-1159.346,11703,7681,LocationMarker,1
Dungeon090,斯玛·萨玛神庙,-1417.777,3449.206,9164,16898,LocationMarker,1
Dungeon091,古·阿齐托神庙,2662.707,-3457.207,17325,3086,LocationMarker,1
Dungeon092,玛·诺拉神庙,-1940.474,-1459.019,8119,7082,LocationMarker,1
Dungeon093,拉丘·乌罗神庙,-3809.56,3126.858,4381,16254,LocationMarker,1
Dungeon094,托·卡尤神庙,-4798.148,2800.031,2404,15600,LocationMarker,1
Dungeon095,库恩·希达吉神庙,18.44452,-1943.704,12037,6113,LocationMarker,1
Dungeon096,丘卡·纳塔神庙,2007.901,3284.566,16016,16569,LocationMarker,1
Dungeon097,库古·齐德神庙,4736.618,3771.592,21473,17543,LocationMarker,1
Dungeon098,达·乔卡席神庙,-26.08035,-2457.688,11948,5085,LocationMarker,1
Dungeon099,塔罗·尼席神庙,1841.225,891.1125,15682,11782,LocationMarker,1
Dungeon100,基哈·乌神庙,-3852.46,716.358,4295,11433,LocationMarker,1
Dungeon101,达·基基神庙,3148.852,-417.3299,18298,9165,LocationMarker,1
Dungeon102,兹纳·卡伊神庙,3324.085,-3421.369,18648,3157,LocationMarker,1
Dungeon103,迪拉·玛神庙,-1795.0,3464.391,8410,16929,LocationMarker,1
Dungeon104,拉诺·库席神庙,-2636.745,-2061.288,6727,5877,LocationMarker,1
Dungeon105,图·卡罗神庙,4655.0,-3709.0,21310,2582,LocationMarker,1
Dungeon106,玛姆·拉诺神庙,836.6338,-2418.811,13673,5162,LocationMarker,1
Dungeon107,密·苏神庙,-2969.8,3780.634,6060,17561,LocationMarker,1
Dungeon108,基托·瓦瓦伊神庙,284.4,-3119.6,12569,3761,LocationMarker,1
Dungeon109,利塔·兹摩神庙,4525.04,-2128.393,21050,5743,LocationMarker,1
Dungeon110,裘希·奥神庙,-2689.307,2811.907,6621,15624,LocationMarker,1
Dungeon111,塔瓦·吉努神庙,2636.691,2833.854,17273,15668,LocationMarker,1
Dungeon112,拉纳·罗基神庙,2039.633,971.7044,16079,11943,LocationMarker,1
Dungeon113,希·库乔夫神庙,870.4947,2329.528,13741,14659,LocationMarker,1
Dungeon114,希·尤塔神庙,4245.246,253.9076,20490,10508,LocationMarker,1
Dungeon115,罗纳·卡塔神庙,-1088.8,-2660.744,9822,4679,LocationMarker,1
Dungeon116,卡扎·托基神庙,-821.5,-3535.0,10357,2930,LocationMarker,1
Dungeon117,吉塔·萨米神庙,3883.028,1315.361,19766,12631,LocationMarker,1
Dungeon118,托·库摩神庙,-4022.127,-3711.697,3956,2577,LocationMarker,1
Dungeon119,塔诺·阿神庙,4182.765,1686.558,20366,13373,LocationMarker,1
EagleBridge,莫里桥,-3117.187,-1287.573,5766,7425,Location,1
EastDam,东部的蓄水湖,3645.851,-119.7094,19292,9761,LocationPointer,1
EastEunpoHighlands,东埃文坡高地,1126.051,-3673.369,14252,2653,Location,2
EastGerudo,,-2537.653,3539.304,6925,17079,Location,1
EastGerudoPlateau,东格鲁德高地,-1576.906,2987.601,8846,15975,Location,1
EastGerudoRuins,东格鲁德遗迹,-2691.0,2889.6,6618,15779,LocationPointer,1
EastPostTownRuin,东部的驿站村废墟,30.83191,1565.386,12062,13131,LocationPointer,1
EastShrine,东部神殿遗迹,-498.5233,1930.951,11003,13862,Location,1
ElegLake,纳比湖,1098.472,1162.922,14197,12326,Location,1
EnRiver,爱恩河,-15.19631,3251.925,11970,16504,Location,1
EquePlateau,安吉尔台地,1715.501,2619.629,15431,15239,Location,1
ErumedaPlateau,艾美拉尔台地,-4100.342,1296.489,3799,12593,Location,1
EunpoHighlands,,335.735,-3693.148,12671,2614,Location,1
Execution,监狱遗迹,-681.699,-841.0332,10637,8318,LocationPointer,1
ExpaTrees,艾奇斯帕森林,3853.023,2011.589,19706,14023,Location,1
EzzuBridge,伊格尔斯桥,970.6177,941.1848,13941,11882,LocationPointer,1
FairyForest,精灵森林,-962.7613,1705.28,10074,13411,Location,1
FaronHatago000,双子驿站,1761.314,1926.244,15523,13852,LocationMarker,1
FaronHatago001,湖畔驿站,1552.023,3537.839,15104,17076,LocationMarker,1
FaronHatago002,高原驿站,529.6001,3450.883,13059,16902,LocationMarker,1
FenaMt,娜波露山,-1893.224,1942.54,8214,13885,Location,1
FeoreRiver,玛科莱湖,337.236,-2749.984,12674,4500,Location,4
FinrasForest,芬拉斯树海,423.3096,2952.625,12847,15905,Location,1
FironeForestEntrance,费罗尼树海入口,395.1327,3037.606,12790,16075,LocationPointer,1
FlamingoSpa,明弗拉的秘泉,-3443.5,-3574.5,5113,2851,LocationPointer,1
FlogPond,青蛙池塘,-1191.477,1659.283,9617,13319,Location,1
FloriaBridge,花柔莉亚桥,1737.902,3467.936,15476,16936,LocationPointer,1
FloriaFalls,花柔莉亚大瀑布,1772.758,3256.497,15546,16513,Location,1
FloriaRiver,花柔莉亚河,1277.003,3327.131,14554,16654,Location,2
FlowerSandbank,花之中州,864.4004,879.7974,13729,11760,LocationPointer,1
ForestHatago,森林驿站,1065.67,-1141.583,14131,7717,LocationMarker,1
FrontGatePosttown,门前驿站村遗迹,-545.0,1455.0,10910,12910,LocationPointer,1
FuruboLake,幽芬湖,2519.544,-1516.648,17039,6967,Location,3
GakanakkyoPlain,西海拉鲁平原,-1605.534,-202.0661,8789,9596,Location,3
GameBalling,彭多的小屋,-2076.6,-2080.6,7847,5839,LocationPointer,1
GameBitalockGolf,库库甲谷球场,-3119.204,-627.7742,5762,8744,LocationPointer,2
GameGutsCriff,毅力崖,2674.0,-3511.5,17348,2977,LocationPointer,1
GameMarathon,马拉松报名处,-2642.308,-1168.918,6715,7662,LocationPointer,1
GameShiledSurf,丝莱米的小屋,-2963.9,-3140.4,6072,3719,LocationPointer,1
GameYabusame,骑射演武报名处,-162.5746,3514.374,11675,17029,LocationPointer,1
GameZarashiRace,沙海象拉力赛报名处,-3773.016,3198.0,4454,16396,LocationPointer,1
GamettaPlateau,卡琳高原,2600.777,1779.888,17202,13560,Location,1
GaneLake,洁净池塘,3261.381,1314.115,18523,12628,Location,1
GarakishiPass,夏特岭,3382.508,-2273.783,18765,5452,Location,1
GarakishiVillage,夏特村落遗迹,3053.783,-2299.474,18108,5401,LocationPointer,1
GasemaDam,茹特拉大坝,3557.454,78.21869,19115,10156,Location,1
GasemaRiver,茹特拉河,2518.1,198.977,17036,10398,Location,2
GashamaHill,更格尔山丘,680.5388,-909.205,13361,8182,Location,1
GashamahiMt,更格尔山,1172.032,-320.0698,14344,9360,Location,1
GatakaraGarrison,科摩罗驻军地遗迹,-465.0074,1272.363,11070,12545,LocationPointer,1
GatakaraPond,科摩罗池塘,-487.485,1163.091,11025,12326,Location,1
GatinLake,密兹达湖,2753.679,-1274.42,17507,7451,Location,3
GenLake,丘萨茨湖,2186.524,-1193.028,16373,7614,Location,1
GeraRiver,默米河,2821.545,1952.351,17643,13905,Location,1
Gerudo,,-3835.0,2915.0,4330,15830,LocationMarker,9
GerudoCanyon,格鲁德峡谷,-2308.234,2216.004,7384,14432,Location,1
GerudoCanyon_Entrance,格鲁德峡谷入口,-1654.0,2017.0,8692,14034,LocationPointer,1
GerudoDesert_Entrance,格鲁德沙漠入口,-2918.182,2322.405,6164,14645,LocationPointer,1
GerudoFossil,格鲁德大化石,-4824.15,3715.872,2352,17432,LocationPointer,1
GerudoHatago,格鲁德峡谷驿站,-2803.812,2225.765,6392,14452,LocationMarker,1
GerudoSummit,格鲁德山顶,-4104.676,699.1396,3791,11398,Location,1
GiankonIsland,玛科莱岛,-259.5609,-2193.719,11481,5613,Location,1
GibogaHill,八爪怪森林,3357.071,-3079.65,18714,3841,Location,1
GibururuMt,露朵山,3243.232,94.80028,18486,10190,Location,1
GigiLake,波奈湖,2083.947,-13.67247,16168,9973,Location,1
GiminoPond,乌尔希池塘,3721.611,1905.712,19443,13811,Location,1
GimpoMt,花柔莉亚山,1931.038,2777.759,15862,15556,Location,1
GisaHill,吉萨山丘,-3638.635,-948.8678,4723,8102,Location,1
GishiHill,吉希山丘,-3478.071,-679.1806,5044,8642,Location,1
GoanaValley,葛亚娜峡谷,3273.622,3412.07,18547,16824,Location,1
GobyMt,卡尔山,2566.629,3474.813,17133,16950,Location,1
GoinaPlateau,皮埃尔高地,2213.056,944.0733,16426,11888,Location,1
Goron,,1685.152,-2467.495,15370,5065,LocationMarker,5
GoronBridge,鼓隆桥,1645.276,-2441.387,15291,5117,LocationPointer,1
GoronSpa,鼓隆温泉,1775.962,-2255.678,15552,5489,Location,1
GoyoLake,红叶湖,4268.146,-3017.484,20536,3965,Location,1
GumaroValley,乌奥谷,2469.419,3259.862,16939,16520,Location,1
GutinizaPlain,古奇尼扎平原,869.9221,3363.719,13740,16727,Location,1
GutinizaPlainTomb,古奇尼扎平原古墓群,1065.01,3376.506,14130,16753,LocationPointer,1
GyunaIsland,阿克伦岛,4651.704,-1026.992,21303,7946,Location,1
HachijoBridge,阿乌尔桥,326.2411,1272.942,12652,12546,LocationPointer,1
HagoromoLake,哈格罗莫湖,1710.64,948.3325,15421,11897,Location,1
HamiyonPlain,奥布力平原,3060.01,1883.294,18120,13767,Location,1
HarayaLake,哈拉亚池塘,376.6248,3477.886,12753,16956,Location,1
HashibiroLake,哈希毕罗湖,-3383.476,-1233.788,5233,7532,Location,2
Hateno,,3592.743,2121.852,19185,14244,LocationMarker,5
HatenoBay,奇塔诺湾,3684.648,2503.467,19369,15007,Location,1
HatenoBeach,哈特诺海滩,4016.552,2314.7,20033,14629,Location,1
HatenoGate,哈特诺堡垒,2323.72,1837.069,16647,13674,LocationPointer,1
HatenoLabo,哈特诺古代研究所,3778.628,2125.697,19557,14251,LocationMarker,1
HatenokoIsland,哈特诺小岛,4008.369,2944.777,20017,15890,Location,1
HawkMt,库荷山,-3834.283,-1326.91,4331,7346,Location,1
HeburaEastSummit,海布拉山东岳,-2752.838,-3053.666,6494,3893,Location,1
HeburaFossil,海布拉大化石,-4016.7,-3684.5,3967,2631,LocationPointer,1
HeburaIcicle,冰冻山麓,-4345.387,-3743.275,3309,2513,Location,1
HeburaLodge,海布拉山脉登山口小屋,-3572.406,-2275.656,4855,5449,LocationPointer,1
HeburaMt_North,海布拉北峰,-3539.268,-3740.209,4921,2520,Location,1
HeburaNorthSummit,海布拉山北岳,-3983.641,-3612.721,4033,2775,Location,1
HeburaPeak,海布拉山山顶,-2770.682,-2913.745,6459,4173,Location,1
HeburaSouthSummit,海布拉山南岳,-3471.156,-2576.249,5058,4848,Location,1
HeburaTundera,海布拉冻原,-3395.053,-3297.968,5210,3404,Location,2
HeburaWestSummit,海布拉山西岳,-4455.328,-3171.224,3089,3658,Location,2
HemaHill,海马高地,-4239.648,152.9755,3521,10306,Location,1
HesonaiValley,亚娜谷,-1867.924,2816.817,8264,15634,Location,1
HigakkareBeach,东阿卡莱海岸,4353.725,-2400.411,20707,5199,Location,2
HigakkarePlain,东阿卡莱平原,4096.214,-2148.708,20192,5703,Location,1
HigashinoBay,奥克诺湾,4283.439,2355.344,20567,14711,Location,1
HimeidaMt,席美达山,2548.448,2461.164,17097,14922,Location,1
HopeBridge,许愿河畔,2751.723,-87.14342,17503,9826,Location,1
HopesPlateau,初始台地,-930.5,1909.5,10139,13819,LocationPointer,1
HyliaMt,海利亚山,-1277.152,2180.244,9446,14360,Location,1
HyliaRiver,黄泉河,-1227.882,1981.25,9544,13962,Location,1
HyralBridge,海利亚大桥,-40.35095,2508.657,11919,15017,LocationPointer,1
HyralIslands,海利亚岛,-329.8351,2638.244,11340,15276,Location,1
HyruleCastle,,-254.0,-611.367,11492,8777,LocationMarker,1
HyruleCastleTown,,-255.0,-306.0078,11490,9388,LocationPointer,1
HyruleCastle_Hall_0,主殿,-254.0,-1063.062,11492,7874,LocationPointer,1
HyruleCastle_Hall_1,二殿,-170.2331,-850.1249,11660,8300,LocationPointer,1
HyruleCastle_Hall_2,三殿,-363.163,-813.3167,11274,8373,LocationPointer,1
HyruleCastle_Room_0,观察室,-254.0,-769.367,11492,8461,LocationPointer,1
HyruleCastle_Room_1,,-116.0875,-837.3592,11768,8325,LocationPointer,1
HyruleCastle_Room_10,东坑道,-111.5,-977.867,11777,8044,LocationPointer,1
HyruleCastle_Room_11,西坑道,-469.5,-851.367,11061,8297,LocationPointer,1
HyruleCastle_Room_2,训练所,-368.7,-846.567,11263,8307,LocationPointer,1
HyruleCastle_Room_3,图书馆,-157.9218,-1067.45,11684,7865,LocationPointer,1
HyruleCastle_Room_5,牢房,-443.9,-1062.267,11112,7875,LocationPointer,1
HyruleCastle_Room_6,塞尔达的房间,-320.5,-995.867,11359,8008,LocationPointer,1
HyruleCastle_Room_7,船坞,-255.0156,-1188.633,11490,7623,LocationPointer,1
HyruleCastle_Room_8,塞尔达的研究室,-384.0,-983.4686,11232,8033,LocationPointer,1
HyruleCastle_Room_9,国王的书房,-171.7445,-1120.706,11657,7759,LocationPointer,1
HyruleCentralPlace,中央广场遗迹,-253.9383,-385.5045,11492,9229,LocationPointer,1
HyruleDepthHatago,平原外围的驿站,-1449.493,1269.011,9101,12538,LocationMarker,1
HyruleEastTown,东海拉鲁城邑遗迹,-10.08295,-437.5038,11980,9125,Location,1
HyruleGarrison,海拉鲁驻军地遗迹,-588.0,574.0,10824,11148,LocationPointer,1
HyruleGround,海拉鲁大地,-1387.738,1538.578,9225,13077,LocationMarker,1
HyruleLabo,王室古代研究所遗迹,-1265.0,-1030.0,9470,7940,LocationPointer,1
HyrulePark,海拉鲁森林公园遗迹,192.7092,-931.5533,12385,8137,LocationPointer,1
HyrulePlace,海拉鲁军事演习场遗迹,824.0,-1474.5,13648,7051,LocationPointer,1
