=== r3 译名核对表（以 Location.xml L4 为锚） ===
label | 英文显示名 | loc(x,z) | r3现有名(距) | ali213名(距) | r4名(距)
DamzelForest | Damel Forest | 832,2700 | 达姆泽尔森林(0) | 达美尔森林(7) | 达美尔森林(8)
DanioPlain | Ukuku Plains | 3951,-977 | 达尼奥平原(0) | 乌库库平原(5) | 乌库库平原(4)
DarinoPond | Nirvata Lake | 3209,1699 | 达里诺池塘(0) | 尼尔瓦塔湖(10) | 尼尔瓦塔湖(10)
DasukidaMt | Mount Dunsel | 3173,3193 | 达斯基达山(0) | 布敦赛尔山(3) | 布敦赛尔山(3)
DasukidaPlateau | Dunsel Plateau | 3003,3082 | 达斯基达台地(0) | 布敦赛尔高原(1) | 布敦赛尔高原(1)
DatsuPlain | Parache Plains | -348,3299 | 达楚平原(0) | 帕拉彻平原(4) | 帕拉彻平原(4)
DeathCaldera | Death Caldera | 2563,-2971 | 死亡破火山口(0) | 死亡火山口(4) | 死亡火山口(5)
DekamuPlain | Marblod Plain | 2770,2282 | 德卡姆平原(0) | 马尔布罗德平原(8) | 马尔布罗德平原(8)
DokamamaPlain | Sahasra Slope | 1378,1050 | 多卡玛玛平原(0) | 萨哈斯拉斜坡(9) | 萨哈斯拉斜坡(9)
DokuroPond | Skull Lake | 3314,-3499 | 骷髅池(0) | 骷髅湖(7) | 骷髅湖(7)
DonLake | Lulu Lake | 3720,-598 | 顿湖(0) | 露露湖(6) | 露露湖(5)
DotiBeach | Rimba Beach | 3167,3721 | 多蒂海滩(0) | 里姆巴海滩(1) | 里姆巴海滩(1)
DragonsFar | Dragon's Exile | -4661,3626 | 龙之遥地(0) | 龙之流放(3) | 龙之流放(3)
EagleBridge | Kolami Bridge | -3117,-1288 | 鹰桥(0) | 科拉米桥(4) | 科拉米桥(4)
EastEunpoHighlands | East Deplian Badlands | 1126,-3673 | 东云波高地(0) | 东迪普兰荒地(27) | 东迪普兰荒地(26)
EastGerudo | East Barrens | -2538,3539 | 东格鲁德(0) | 西部荒漠(7) | 西部荒漠(7)
EastGerudoPlateau | East Gerudo Mesa | -1577,2988 | 东格鲁德台地(0) | 拉奈鲁大道(8) | -(341!)
EastShrine | Eastern Abbey | -499,1931 | 东祠(0) | 仲裁者之地（荒野之息）(8) | -(424!)
ElegLake | Nabi Lake | 1098,1163 | 埃雷格湖(0) | 希卡利森林(5) | 希卡利森林(5)
EnRiver | Menoat River | -15,3252 | 恩河(0) | 梅诺特河(2) | 梅诺特河(2)
EquePlateau | Angel Peak | 1716,2620 | 埃库埃台地(0) | 天使峰(3) | 天使峰(3)
ErumedaPlateau | Meadela's Mantle | -4100,1296 | 埃鲁梅达台地(0) | 梅德拉地幔(0) | 梅德拉地幔(1)
EunpoHighlands | Deplian Badlands | 336,-3693 | 云波高地(0) | 迪普兰荒地(5) | 迪普兰荒地(4)
ExpaTrees | Retsam Forest | 3853,2012 | 埃克斯帕树林(0) | 雷赞森林(4) | 雷赞森林(4)
FairyForest | Forest of Spirits | -963,1705 | 妖精之森(0) | 精灵之森(13) | 精灵之森(13)
FenaMt | Mount Nabooru | -1893,1943 | 费纳山(0) | 弗洛里亚桥(2) | -(251!)
FeoreRiver | Lake Mekar | 337,-2750 | 费奥雷河(0) | 梅卡尔湖(4) | 梅卡尔湖(4)
FinrasForest | Finra Woods | 423,2953 | 芬拉斯森林(0) | 芬拉树林(4) | 芬拉树林(4)
FlogPond | Hopper Pond | -1191,1659 | 弗罗格池塘(0) | 南部绿洲(3) | 南部绿洲(3)
FloriaFalls | Floria Falls | 1773,3256 | 花柔莉亚大瀑布(0) | 花柔利亚瀑布(6) | 花柔利亚瀑布(6)
FloriaRiver | Floria River | 1277,3327 | 花柔莉亚河(0) | 卡尔海角(2) | -(149!)
FuruboLake | Lake Intenoch | 2520,-1517 | 弗鲁博湖(0) | 因特诺切湖(9) | 因特诺切湖(9)
GakanakkyoPlain | West Hyrule Plains | -1606,-202 | 西海拉鲁平原(0) | 西海拉鲁平原(7) | -(343!)
GamettaPlateau | Cliffs of Quince | 2601,1780 | 加梅塔台地(0) | 昆斯悬崖(3) | 昆斯悬崖(3)
GaneLake | Purifier Lake | 3261,1314 | 加内湖(0) | 洁净之湖(5) | 洁净之湖(4)
GarakishiPass | Shadow Pass | 3383,-2274 | 加拉基希隘口(0) | 暗影通道(5) | 暗影通道(5)
GasemaDam | Rutala Dam | 3557,78 | 茹特拉大坝(0) | 路塔拉大坝(5) | 路塔拉大坝(5)
GasemaRiver | Rutala River | 2518,199 | 茹特拉河(0) | 左多邦高地(214!) | -(214!)
GashamaHill | Crenel Hills | 681,-909 | 加沙玛山丘(0) | 克雷内尔山(3) | -(348!)
GashamahiMt | Crenel Peak | 1172,-320 | 加沙玛希山(0) | 克雷内尔峰(3) | 克雷内尔峰(3)
GatakaraPond | Lake Kolomo | -487,1163 | 加塔卡拉池塘(0) | 科洛默湖(5) | 科洛默湖(5)
GatinLake | Cephla Lake | 2754,-1274 | 加廷湖(0) | 塞菲拉湖(5) | 塞菲拉湖(5)
GenLake | Lake Ferona | 2187,-1193 | 根湖(0) | 费罗纳湖(4) | -(249!)
GeraRiver | Fir River | 2822,1952 | 格拉河(0) | 菲尔河(3) | 菲尔河(3)
GerudoCanyon | Gerudo Canyon | -2308,2216 | 格鲁德峡谷(0) | 格鲁德峡谷(2) | -(335!)
GerudoSummit | Gerudo Summit | -4105,699 | 格鲁德山顶(0) | 格鲁德峰(11) | 格鲁德峰(11)
GiankonIsland | Mekar Island | -260,-2194 | 吉安孔岛(0) | 梅卡尔岛(0) | 梅卡尔岛(1)
GibogaHill | Rok Woods | 3357,-3080 | 吉博加山丘(0) | 洛克树林(6) | 洛克树林(6)
GibururuMt | Ruto Mountain | 3243,95 | 露朵山(0) | 雅纳山谷(6) | -(192!)
GigiLake | Boné Pond | 2084,-14 | 吉吉湖(0) | 博内池塘(3) | 博内池塘(2)
GiminoPond | Lake Sumac | 3722,1906 | 吉米诺池塘(0) | 漆树湖(3) | 漆树湖(3)
GimpoMt | Mount Floria | 1931,2778 | 金波山(0) | 昆斯悬崖(4) | -(223!)
GisaHill | Nero Hill | -3639,-949 | 吉萨山丘(0) | 尼洛山丘(3) | -(380!)
GishiHill | Piper Ridge | -3478,-679 | 吉希山丘(0) | 派珀岭(3) | -(264!)
GobyMt | Tuft Mountain | 2567,3475 | 戈比山(0) | 图弗特山(4) | 图弗特山(4)
GoinaPlateau | Pierre Plateau | 2213,944 | 戈伊纳台地(0) | 东部格鲁德遗迹(5) | 东部格鲁德遗迹(5)
GoronSpa | Goron Hot Springs | 1776,-2256 | 鼓隆温泉(0) | 鼓隆族温泉(3) | 鼓隆族温泉(3)
GoyoLake | Bloodleaf Lake | 4268,-3017 | 戈约湖(0) | 红叶湖(6) | 红叶湖(6)
GumaroValley | Atun Valley | 2469,3260 | 古马罗谷(0) | 阿顿谷(5) | 阿顿谷(5)
GutinizaPlain | Guchini Plain | 870,3364 | 古蒂尼扎平原(0) | 古彻尼平原(1) | 古彻尼平原(1)
GyunaIsland | Ankel Island | 4652,-1027 | 久纳岛(0) | 安可儿岛(6) | 安可儿岛(5)
HagoromoLake | Lantern Lake | 1711,948 | 羽衣湖(0) | 灯湖(7) | 灯湖(8)
HamiyonPlain | Ovli Plain | 3060,1883 | 哈米永平原(0) | 托托里湖(9) | -(161!)
HarayaLake | Haran Lake | 377,3478 | 哈拉亚湖(0) | 哈兰湖(5) | 哈兰湖(5)
HashibiroLake | Strock Lake | -3383,-1234 | 哈希毕罗湖(0) | 斯特洛克湖(4) | 斯特洛克湖(4)
HatenoBay | Kitano Bay | 3685,2503 | 哈特诺湾(0) | 海利亚湖（荒野之息）(7) | -(336!)
HatenoBeach | Hateno Beach | 4017,2315 | 哈特诺海滩(0) | 哈特诺海滩(9) | -(262!)
HatenokoIsland | Tenoko Island | 4008,2945 | 哈特诺科岛(0) | 特诺克岛(3) | 特诺克岛(4)
HawkMt | Cuho Mountain | -3834,-1327 | 霍克山(0) | 库贺山(3) | 库贺山(2)
HeburaEastSummit | Hebra East Summit | -2753,-3054 | 海布拉山东岳(0) | 海布拉东峰(3) | 海布拉东峰(4)
HeburaIcicle | Icefall Foothills | -4345,-3743 | 海布拉冰柱(0) | 冰瀑山麓(3) | 冰瀑山麓(3)
HeburaMt_North | Hebra North Crest | -3539,-3740 | 海布拉北峰(0) | 海布拉北峰(0) | -(193!)
HeburaNorthSummit | Hebra North Summit | -3984,-3613 | 海布拉山北岳(0) | 海布拉北顶点(4) | 海布拉北顶点(5)
HeburaPeak | Hebra Peak | -2771,-2914 | 海布拉山山顶(0) | 海布拉山峰(3) | 海布拉山峰(4)
HeburaSouthSummit | Hebra South Summit | -3471,-2576 | 海布拉山南岳(0) | 海布拉南峰(5) | 海布拉南峰(5)
HeburaTundera | Hebra Tundra | -3395,-3298 | 海布拉冻原(0) | 海布拉冻原(4) | -(280!)
HeburaWestSummit | Hebra West Summit | -4455,-3171 | 海布拉山西岳(0) | 海布拉西峰(7) | 海布拉西峰(7)
HemaHill | Hemaar's Descent | -4240,153 | 赫马山丘(0) | 赫玛尔斜坡(2) | 赫玛尔斜坡(2)
HesonaiValley | Yarna Valley | -1868,2817 | 赫索奈谷(0) | 飞行范围(5) | 飞行范围(5)
HigakkareBeach | East Akkala Beach | 4354,-2400 | 北阿卡莱海滩(0) | 东阿卡莱海滩(16) | 东阿卡莱海滩(17)
HigakkarePlain | East Akkala Plains | 4096,-2149 | 东阿卡莱平原(0) | 东阿卡莱平原(5) | -(346!)
HigashinoBay | Deepback Bay | 4283,2355 | 东野湾(0) | 东部荒漠(11) | 东部荒漠(11)
HimeidaMt | Meda Mountain | 2548,2461 | 姬伊达山(0) | 梅达山(14) | 梅达山(14)
HopeBridge | Bank of Wishes | 2752,-87 | 希望桥(0) | 卓拉大桥(4) | -(171!)
HyliaMt | Mount Hylia | -1277,2180 | 海利亚山(0) | 海利亚湖（荒野之息）(16) | -(211!)
HyliaRiver | River of the Dead | -1228,1981 | 海利亚河(0) | 护城河桥(10) | 护城河桥(10)
HyralIslands | Hylia Island | -330,2638 | 海利亚岛(0) | 海利亚岛(2) | -(317!)
Hyrule_Out | Hyrule Castle Moat | -291,-1258 | 海拉鲁郊外(0) | 海拉鲁城堡护城河(5) | 海拉鲁城堡护城河(5)
IbaraPlateau | Ibara Butte | 765,3789 | 伊巴拉台地(0) | 伊巴拉峰(2) | 伊巴拉峰(2)
IkokoPlateau | Talus Plateau | 4443,355 | 伊科科台地(0) | 塔卢斯高原(5) | 塔卢斯高原(5)
ImeruMt | Elma Knolls | -425,-1754 | 伊梅鲁山(0) | 埃尔玛小丘(1) | 埃尔玛小丘(2)
IooValley | Trilby Valley | 2272,-710 | 伊奥奥谷(0) | 崔尔白峡谷(2) | 崔尔白峡谷(3)
IrimoLake | Goronbi Lake | 1712,-1515 | 伊里莫湖(0) | 鼓隆湖(10) | 鼓隆湖(10)
IrimoRiver | Goronbi River | 1567,-1843 | 伊里莫河(0) | 鼓隆族河(3) | -(253!)
IsakiCape | Soka Point | 3800,3657 | 伊萨基岬(0) | 达瓦尔峰(5) | -(359!)
IsakuIslands | Millennio Sandbar | 1311,535 | 伊萨库群岛(0) | 千年沙洲(7) | 千年沙洲(7)
JedaPlateau | Koukot Plateau | -2201,1823 | 杰达台地(0) | 考科特高地(9) | 考科特高地(9)
JijigegeMt | Mount Rozudo | 2377,2195 | 吉吉格格山(0) | 罗佐山(10) | 罗佐山(11)
JiuRiver | Zora River | 2658,-364 | 卓拉河(0) | 卓拉河(3) | -(210!)
KagossaMt | Zokassa Ridge | -557,3222 | 卡戈萨山(0) | 佐卡萨岭(3) | 佐卡萨岭(3)
KaiyanPlain | Rabia Plain | 2615,590 | 凯扬平原(0) | 拉比平原(14) | 拉比平原(14)
KakamoLake | Telta Lake | 1708,790 | 卡卡莫湖(0) | 特尔塔湖(3) | -(138!)
KakaomePlain | Irch Plain | -902,-1435 | 卡卡奥梅平原(0) | 伊尔奇平原(113!) | -(448!)
KakufusaPlain | Whistling Hill | 152,852 | 卡库夫萨平原(0) | 尼弗拉山(7) | 尼弗拉山(7)
KamasuPlateau | Kamah Plateau | 1436,2989 | 卡马斯台地(0) | 卡玛高原(3) | 卡玛高原(3)
KamutariPlateau | Phalian Highlands | 2509,1226 | 卡姆塔里台地(0) | 法莲高地(12) | 法莲高地(11)
KapporeMt | Mount Faloraa | -926,2629 | 卡波雷山(0) | 法罗拉山(2) | 法罗拉山(3)
KarimikiLake | Camphor Pond | 3062,2042 | 卡里米基湖(0) | 坎福尔池塘(4) | 坎福尔池塘(4)
KarusaValley | Karusa Valley | -4308,1854 | 卡鲁萨谷(0) | 卡露沙山谷(8) | 卡露沙山谷(8)
KasuraMt | Corvash Peak | -3276,-2417 | 卡斯拉山(0) | 拉奈鲁海湾(2) | -(246!)
KattoriPlateau | Farosh Hills | 556,2488 | 卡托里台地(0) | 拉维拉海滩(4) | 拉维拉海滩(3)
KaturaRiver | Regencia River | -1558,921 | 卡楚拉河(0) | 雷根西亚河(30) | 雷根西亚河(30)
KaturaRiver | Regencia River | -1244,-124 | 希尼基奥森林(246!) | 雷根西亚河(4) | -(248!)
KauLake | Hebra Plunge | -3072,-2135 | 卡乌湖(0) | 海布拉水潭(9) | 海布拉水潭(9)
KazanaDungeon | Tempest Gulch | 3455,-3255 | 卡扎纳洞窟(0) | 风暴峡谷(8) | 风暴峡谷(8)
KazuryuLake | Dracozu Lake | 928,2583 | 卡兹留湖(0) | 德拉克祖湖(5) | 德拉克祖湖(5)
KazuryuRiver | Dracozu River | 1024,2763 | 卡兹留河(0) | 德拉克祖河(1) | 德拉克祖河(2)
KazusuPass | Kaepora Pass | 4115,-1206 | 卡兹苏斯隘口(0) | 凯波拉通道(9) | 凯波拉通道(9)
KibakkaSnow | Hebra Headspring | -2830,-2416 | 基巴卡雪原(0) | 海布拉源泉(1) | 海布拉源泉(2)
KibinaLake | Herin Lake | 1017,3512 | 基比纳湖(0) | 海林湖(3) | 海林湖(3)
KihirePlain | Keelay Plain | 1493,2867 | 基希雷平原(0) | 克雷平原(5) | 克雷平原(5)
KikinosaMt | Lindor's Brow | -1944,-1258 | 基基诺萨山(0) | 林多尔崖头(4) | 林多尔崖头(4)
KikinosaPlain | Upland Lindor | -2231,-1345 | 基基诺萨平原(0) | 林多尔高地(5) | 林多尔高地(5)
KimarikaMt | Peak of Awakening | 2912,1463 | 基马里卡山(0) | 尼洛山丘(4) | 尼洛山丘(4)
KimarikaPlateau | Nirvata Plateau | 3201,1386 | 基马里卡台地(0) | 尼尔瓦塔高原(6) | -(91!)
KingValley | Forgotten Temple | -1567,-2118 | 金谷(0) | 忘却神殿(1) | -(361!)
KinmePlateau | Koholit Rock | 4654,3721 | 金梅台地(0) | 科荷利特岩(2) | 科荷利特岩(2)
KinshoiMt | Mount Daphnes | -1105,556 | 金肖伊山(0) | 马普拉点(3) | -(112!)
KirisasaPlateau | Lanayru Bluff | 2929,1245 | 基里萨萨台地(0) | 拉聂尔悬崖(15) | 拉聂尔悬崖(15)
KiriyabuMt | Bonooru's Stand | 2153,1130 | 基里亚布山(0) | 博诺鲁看台(11) | 博诺鲁看台(12)
KitakkareBeach | North Akkala Beach | 4717,-2924 | 北阿卡莱海滩(0) | 北阿卡莱海滩(3) | -(463!)
KitakkarePlain | North Akkala Valley | 3803,-2823 | 北阿卡莱平原(0) | 北阿卡莱海滩(2) | -(159!)
KitakkarePlateau | North Akkala Foothill | 4175,-2883 | 北阿卡莱台地(0) | 北阿卡莱山麓(9) | 北阿卡莱山麓(8)
KitanoBay | Hateno Bay | 4021,2423 | 北野湾(0) | 哈特诺湾(9) | -(267!)
KiyanbaTrees | Minshi Woods | 1021,-1376 | 基扬巴树林(0) | 弥什森林(1) | 弥什森林(1)
KoganeyaLake | Keya Pond | 2995,2916 | 黄金谷湖(0) | 科亚池塘(3) | 科亚池塘(2)
KokuppiSnow | Kopeeki Drifts | -2345,-2509 | 科库皮雪原(0) | 科佩基漂流地(1) | 科佩基漂流地(1)
KokuwaLake | Ash Swamp | 1978,1842 | 科库瓦湖(0) | 灰烬沼泽(5) | 灰烬沼泽(5)
KomoreBeach | Komo Shoreline | 699,3932 | 科莫雷海滩(0) | 科尔奈海滩(3) | 科尔奈海滩(2)
KondanaLake | Darb Pond | 2336,-2043 | 孔达纳湖(0) | 达布池(9) | 达布池(9)
KoshaIsland | Davdi Island | 4637,-608 | 科沙岛(0) | 忘却神殿(4) | 忘却神殿(4)
KuhanLake | Hanu Pond | 2788,2731 | 库汉湖(0) | 哈努池塘(1) | 哈努池塘(1)
KukujaValley | Tanagar Canyon | -3485,-179 | 库库加谷(0) | 塔纳戈峡谷(1) | -(267!)
KukujaValley | Tanagar Canyon | -2293,-1584 | 基基诺萨平原(246!) | 塔纳戈峡谷(15) | -(251!)
KumPlateau | Sturnida Basin | -4110,-2851 | 库姆台地(0) | 斯特尔尼达盆地(2) | 斯特尔尼达盆地(3)
KunaiLake | Aquame Lake | -993,1163 | 库奈湖(0) | 阿夸梅湖(6) | 阿夸梅湖(7)
KurindaPrairie | Darybon Plains | -333,3683 | 库林达草原(0) | 达里伯平原(3) | 达里伯平原(3)
KurisobeSnow | Risoka Snowfield | -4556,1091 | 库里索贝雪原(0) | 利索卡雪地(9) | 利索卡雪地(8)
KuroidaPlateau | Breman Peak | 2131,2603 | 库罗伊达台地(0) | 布雷曼峰(6) | 布雷曼峰(6)
KutenLake | Uten Marsh | 2701,2945 | 库滕湖(0) | 乌滕沼泽(5) | 乌滕沼泽(6)
KutiffMt | Mount Rhoam | -2691,-776 | 库蒂夫山(0) | 罗姆山(2) | 罗姆山(3)
LakeFloria | Lake Floria | 1738,3532 | 花柔莉亚湖(0) | 福洛丽亚湖(5) | 福洛丽亚湖(5)
LanayruBay | Lanayru Bay | 3814,613 | 拉聂尔湾(0) | 拉奈鲁海湾(12) | 拉奈鲁海湾(12)
LaveBeach | Laverra Beach | -174,3850 | 拉维海滩(0) | 拉维拉海滩(3) | -(227!)
MacusePeninsula | Rist Peninsula | 4616,-2243 | 马丘泽半岛(0) | 阿波西亚海岸(5) | -(301!)
MakuminoValley | Harfin Valley | 95,3394 | 马库米诺谷(0) | 哈芬山谷(1) | 哈芬山谷(1)
ManbaLake | Goro Cove | 1865,-2454 | 曼巴湖(0) | 五郎峡谷(5) | 五郎峡谷(5)
MarittaHill | Salari Hill | -1339,-1523 | 马里塔山丘(0) | 塞拉利山(3) | 塞拉利山(3)
MarittaPrairie | Salari Plain | -1678,-1722 | 马里塔草原(0) | 塞拉利平原(5) | 塞拉利平原(5)
MasazuRock | Quarry Ruins | -726,-414 | 马萨祖岩(0) | 雷恩高地(3) | -(165!)
MedakaValley | Ulria Grotto | 4203,-782 | 梅达卡谷(0) | 尤里拉洞穴(5) | 尤里拉洞穴(5)
MeganeRock | Spectacle Rock | -2222,2538 | 眼镜岩(0) | 壮观石(2) | 壮观石(2)
MemeMt | Ploymus Mountain | 3852,-568 | 梅梅山(0) | 东部格鲁德遗迹(5) | -(138!)
MenadaBeach | Afromsia Coast | 4603,1830 | 梅纳达海滩(0) | 阿波西亚海岸(7) | 阿波西亚海岸(7)
MerkayaLowTrees | Taobab Grassland | -1228,2726 | 梅尔卡亚矮树林(0) | 淘巴布草原(2) | 淘巴布草原(3)
MezusuPass | Rospro Pass | -3581,-2363 | 梅祖苏斯隘口(0) | 罗斯帕洛通道(3) | 罗斯帕洛通道(2)
MiddleTrees | Midla Woods | 3101,2164 | 中部树林(0) | 米德拉树林(3) | 米德拉树林(3)
MihekoBay | Malin Bay | 4406,-1901 | 米赫科湾(0) | 马林湾(5) | 马林湾(5)
MinakkareFalls | Akkala Falls | 3733,-1159 | 南阿卡莱瀑布(0) | 阿卡莱瀑布(2) | 阿卡莱瀑布(2)
MinakkareLake | South Lake Akkala | 3623,-1063 | 南阿卡莱湖(0) | 南阿卡莱湖(4) | -(145!)
MinakkarePlain | South Akkala Plains | 3276,-1323 | 南阿卡莱平原(0) | 南阿卡莱平原(0) | -(126!)
MinaminoBay | Loshlo Harbor | 3481,2880 | 南野湾(0) | 洛施洛港(4) | 洛施洛港(5)
MizemakuMt | Walnot Mountain | 4170,1922 | 米泽马库山(0) | 沃尔诺特山脉(7) | 沃尔诺特山脉(7)
MomoMt | Scout's Hill | -21,1898 | 桃山(0) | 小双子桥(8) | -(202!)
MoriMt | Ulri Mountain | 3613,-2093 | 森山(0) | 尤里拉山(3) | 尤里拉山(3)
MoroLake | Mikau Lake | 3601,-571 | 米考湖(0) | 米考湖(3) | -(118!)
MorudaMt | Daval Peak | -1391,3600 | 莫鲁达山(0) | 达瓦尔峰(6) | -(798!)
MorugaMt | Mount Granajh | -1376,3361 | 莫鲁加山(0) | 格兰亚山(1) | -(654!)
MuguriPlain | Blatchery Plain | 2133,1914 | 穆古里平原(0) | 克罗切利平原(12) | 克罗切利平原(13)
NaganizaHill | Temto Hill | 2382,3400 | 纳加尼扎山丘(0) | 派珀岭(6) | 派珀岭(6)
NagyuPlateau | Tal Tal Peak | 4147,-339 | 纳久台地(0) | 塔塔尔峰(4) | -(288!)
NaierunPeninsula | Lodrum Headland | 4445,642 | 奈鲁恩半岛(0) | 洛德拉姆海岬(4) | 洛德拉姆海岬(4)
NanaimoPlain | Rowan Plain | -1219,-2026 | 纳奈莫平原(0) | 罗万平原(2) | 罗万平原(2)
NangoPond | Zelo Pond | 1646,-511 | 南戈池塘(0) | 泽洛水池(5) | 泽洛水池(5)
NaruguPeninsula | Mapla Point | 4663,2372 | 纳鲁古半岛(0) | 马普拉点(4) | 马普拉点(5)
NefraHill | Nephra Hill | -2166,1509 | 内弗拉高地(0) | 尼弗拉山(2) | -(324!)
NezuppoTrees | Pappetto Grove | -339,3567 | 内祖波树林(0) | 帕皮托森林(2) | 帕皮托森林(2)
NiiLake | Cora Lake | -48,3056 | 尼伊湖(0) | 科拉湖(5) | 科拉湖(4)
NikakaIsland | Isle of Rabac | 1542,-3074 | 尼卡卡岛(0) | 拉巴克岛(3) | 拉巴克岛(4)
NishakkarePlain | Kanalet Ridge | 3309,-1907 | 西阿卡莱平原(0) | 卡纳雷特山脊(5) | 卡纳雷特山脊(5)
NitariBeach | Korne Beach | 2941,3656 | 尼塔里海滩(0) | 科恩海滩(1) | 科恩海滩(1)
NomyPlain | Ludfo's Bog | -2132,-676 | 诺米平原(0) | 路德夫沼泽(2) | 路德夫沼泽(1)
NorthHugeStone | Great Cliffs | -3322,2247 | 北部巨石(0) | 勇士之门(7) | 勇士之门(7)
