lv,label,现名,官方名,px_x,px_y,官方px_x,官方px_y,坐标差px,匹配,动作,来源
r2,MapArea_LanayruWetlands,拉聂尔湿地,拉聂尔湿地,15493,9768,15493,9768,0.3,名字,无需改,Location
r2,MapArea_LiveMountain,拉聂尔山,拉聂尔山,19796,12836,19796,12836,0.6,名字,无需改,Location
r2,MapArea_TabantaFrontier,塔邦挞边境,塔邦挞边境,5049,7642,5049,7642,0.6,名字,无需改,Location
r2,TabantaSnow,塔邦达冻原,,8376,4415,8376,4415,0.3,坐标,名字待定,Location
r2,MapArea_TamulOutback,深远阿卡莱,深远阿卡莱,19204,3628,19204,3628,0.4,名字,无需改,Location
r2,MapArea_TamulPlateau,阿卡莱高原,阿卡莱高原,19308,5553,19308,5553,0.3,名字,无需改,Location
r2,MapArea_TamulSea,阿卡莱海,阿卡莱海,21623,3143,21623,3143,0.1,名字,无需改,Location
r2,MapArea_WestHateru,西哈特尔,西哈特尔,14595,13049,14595,13049,0.5,名字,无需改,Location
r2,MapArea_CentralHyrule,海拉鲁平原,海拉鲁平原,11083,11163,11083,11163,0.5,名字,无需改,Location
r3,AagetoMt,阿盖特山,阿盖特山,2138,11724,2138,11724,0.5,名字,无需改,Location
r3,AdeyaLake,阿迪亚湖,阿迪亚湖,12910,14072,12910,14072,0.5,名字,无需改,Location
r3,AgePlateau,亚哲台地,亚哲台地,15013,14931,15013,14931,0.5,名字,无需改,Location
r3,AgunaiLake,达鲁尼亚湖,达鲁尼亚湖,14811,4316,14811,4316,0.4,名字,无需改,Location
r3,AkazaMt,拉聂尔群山,拉聂尔群山,19987,13193,19987,13193,0.3,名字,无需改,Location
r3,AmimePlateau,阿米麦台地,阿米麦台地,12439,17264,12439,17264,0.5,名字,无需改,Location
r3,AmonenePlateau,拉尔斯池塘,拉尔斯池塘,17865,9500,17865,9500,0.3,名字,无需改,Location
r3,AnbonBeach,玛萨海湾,玛萨海湾,14413,17458,14413,17458,0.4,名字,无需改,Location
r3,AnchoBeach,托隆波海滩,托隆波海滩,20997,17105,20997,17105,0.3,名字,无需改,Location
r3,AnoleLake,马尔鼓池塘,马尔鼓池塘,16195,5699,16195,5699,0.5,名字,无需改,Location
r3,AnoleTunnel,马尔鼓坑道,马尔鼓坑道,16016,5973,16016,5973,0.4,名字,无需改,Location
r3,ArafuraPlain,阿拉弗拉平原,阿拉弗拉平原,12893,16671,12893,16671,0.5,名字,无需改,Location
r3,AraisoBeach,阿拉伊索海岸,阿拉伊索海岸,15872,17758,15872,17758,0.4,名字,无需改,Location
r3,AzimetosPlateau,托斯迈吉亚台地,托斯迈吉亚台地,3910,10812,3910,10812,0.2,名字,无需改,Location
r3,BachimakuMt,独杉群山,独杉群山,20807,14365,20807,14365,0.1,名字,无需改,Location
r3,BaconCliff,托洛鼓悬崖,托洛鼓悬崖,15637,6218,15637,6218,0.5,名字,无需改,Location
r3,BameHill,巴美山丘,巴美山丘,4002,6772,4002,6772,0.3,名字,无需改,Location
r3,BanmezaLake,邦迈扎湖,邦迈扎湖,13809,15747,13809,15747,0.5,名字,无需改,Location
r3,BantaValley,终焉之谷,终焉之谷,9126,8891,9126,8891,0.5,名字,无需改,Location
r3,BarakkiPlain,达拉伊特森林,达拉伊特森林,7898,12278,7898,12278,0.1,名字,无需改,Location
r3,BarumePlain,巴尔麦平原,巴尔麦平原,12387,16269,12387,16269,0.1,名字,无需改,Location
r3,BigalLake,中鼓湖,中鼓湖,16425,6453,16425,6453,0.5,名字,无需改,Location
r3,BiginaTrees,基纳比森林,基纳比森林,18404,14167,18404,14167,0.5,名字,无需改,Location
r3,BiridinHill,比利丁高地,比利丁高地,5048,13736,5048,13736,0.4,名字,无需改,Location
r3,BironSnow,比隆雪原,比隆雪原,4562,4036,4562,4036,0.2,名字,无需改,Location
r3,BituoValley,比托谷,比托谷,14659,15129,14659,15129,0.6,名字,无需改,Location
r3,BlindForest,德依布朗遗迹,德依布朗遗迹,12654,3840,12654,3840,0.1,名字,无需改,Location
r3,BlizzarValley,暴风谷,暴风谷,5868,4092,5868,4092,0.7,名字,无需改,Location
r3,BokoboLake,盖洛湖,盖洛湖,16855,6543,16855,6543,0.2,名字,无需改,Location
r3,BonrasForest,本拉斯树海,本拉斯树海,14956,16509,14956,16509,0.2,名字,无需改,Location
r3,BoraraCape,塔姆海角,塔姆海角,20960,11794,20960,11794,0.5,名字,无需改,Location
r3,BottuBay,斯普尔湾,斯普尔湾,20806,9615,20806,9615,0.4,名字,无需改,Location
r3,BrostarPlain,萨玛莎平原,萨玛莎平原,18478,11135,18478,11135,0.2,名字,无需改,Location
r3,BuhaIslands,贝弗岛,贝弗岛,17402,6503,17402,6503,0.6,名字,无需改,Location
r3,BuibuiTrees,布冰嘉森林,布冰嘉森林,16171,14188,16171,14188,0.5,名字,无需改,Location
r3,BuichadaPlateau,秋叶台地,秋叶台地,20334,3693,20334,3693,0.1,名字,无需改,Location
r3,BuidaLake,布伊达湖,布伊达湖,15709,17359,15709,17359,0.5,名字,无需改,Location
r3,BumiPlain,风标草原,风标草原,10672,11501,10672,11501,0.3,名字,无需改,Location
r3,BuramuPlateau,泡泡拉高地,泡泡拉高地,13625,14354,13625,14354,0.5,名字,无需改,Location
r3,ChagaraMt,恰加拉海滨,恰加拉海滨,18388,17120,18388,17120,0.2,名字,无需改,Location
r3,ChuonoPond,凯亚池塘,凯亚池塘,18987,13930,18987,13930,0.6,名字,无需改,Location
r3,CresiaPeninsula,克莱西亚半岛,克莱西亚半岛,18841,17615,18841,17615,0.3,名字,无需改,Location
r3,DamzelForest,达姆泽尔树海,达姆泽尔树海,13664,15400,13664,15400,0.2,名字,无需改,Location
r3,DanioPlain,乌克克平原,乌克克平原,19901,8046,19901,8046,0.2,名字,无需改,Location
r3,DarinoPond,卡伊更池塘,卡伊更池塘,18418,13398,18418,13398,0.5,名字,无需改,Location
r3,DasukidaMt,达斯齐达山,达斯齐达山,18347,16387,18347,16387,0.3,名字,无需改,Location
r3,DasukidaPlateau,达斯齐达高原,达斯齐达高原,18005,16164,18005,16164,0.6,名字,无需改,Location
r3,DatsuPlain,特托拉平原,特托拉平原,11304,16597,11304,16597,0.6,名字,无需改,Location
r3,DeathCaldera,死亡破火山口,死亡破火山口,17127,4058,17127,4058,0.2,名字,无需改,Location
r3,DekamuPlain,马布尔德平原,马布尔德平原,17540,14565,17540,14565,0.4,名字,无需改,Location
r3,DokamamaPlain,撒哈斯拉平原,撒哈斯拉平原,14756,12100,14756,12100,0.4,名字,无需改,Location
r3,DokuroPond,骷髅池塘,骷髅池塘,18627,3003,18627,3003,0.5,名字,无需改,Location
r3,DonLake,露露湖,露露湖,19441,8804,19441,8804,0.2,名字,无需改,Location
r3,DotiBeach,林芭海滩,林芭海滩,18334,17442,18334,17442,0.3,名字,无需改,Location
r3,DragonsFar,龙之流放地,龙之流放地,2677,17253,2677,17253,0.4,名字,无需改,Location
r3,EagleBridge,莫里桥,莫里桥,5766,7425,5766,7425,0.4,名字,无需改,Location
r3,EastEunpoHighlands,东埃文坡高地,东埃文坡高地,14252,2653,14252,2653,0.3,名字,无需改,Location
r3,EastGerudo,东部荒漠,,6925,17079,6925,17079,0.5,坐标,名字待定,Location
r3,EastGerudoPlateau,东格鲁德高地,东格鲁德高地,8846,15975,8846,15975,0.3,名字,无需改,Location
r3,EastShrine,东部神殿遗迹,东部神殿遗迹,11003,13862,11003,13862,0.1,名字,无需改,Location
r3,ElegLake,纳比湖,纳比湖,14197,12326,14197,12326,0.2,名字,无需改,Location
r3,EnRiver,爱恩河,爱恩河,11970,16504,11970,16504,0.4,名字,无需改,Location
r3,EquePlateau,安吉尔台地,安吉尔台地,15431,15239,15431,15239,0.3,名字,无需改,Location
r3,ErumedaPlateau,艾美拉尔台地,艾美拉尔台地,3799,12593,3799,12593,0.3,名字,无需改,Location
r3,EunpoHighlands,迪普兰荒地,,12671,2614,12671,2614,0.6,坐标,名字待定,Location
r3,ExpaTrees,艾奇斯帕森林,艾奇斯帕森林,19706,14023,19706,14023,0.2,名字,无需改,Location
r3,FairyForest,精灵森林,精灵森林,10074,13411,10074,13411,0.6,名字,无需改,Location
r3,FenaMt,娜波露山,娜波露山,8214,13885,8214,13885,0.5,名字,无需改,Location
r3,FeoreRiver,玛科莱湖,玛科莱湖,12674,4500,12674,4500,0.5,名字,无需改,Location
r3,FinrasForest,芬拉斯树海,芬拉斯树海,12847,15905,12847,15905,0.5,名字,无需改,Location
r3,FlogPond,青蛙池塘,青蛙池塘,9617,13319,9617,13319,0.4,名字,无需改,Location
r3,FloriaFalls,花柔莉亚大瀑布,花柔莉亚大瀑布,15546,16513,15546,16513,0.5,名字,无需改,Location
r3,FloriaRiver,花柔莉亚河,花柔莉亚河,14554,16654,14554,16654,0.3,名字,无需改,Location
r3,FuruboLake,幽芬湖,幽芬湖,17039,6967,17039,6967,0.3,名字,无需改,Location
r3,GakanakkyoPlain,西海拉鲁平原,西海拉鲁平原,8789,9596,8789,9596,0.1,名字,无需改,Location
r3,GamettaPlateau,卡琳高原,卡琳高原,17202,13560,17202,13560,0.5,名字,无需改,Location
r3,GaneLake,洁净池塘,洁净池塘,18523,12628,18523,12628,0.3,名字,无需改,Location
r3,GarakishiPass,夏特岭,夏特岭,18765,5452,18765,5452,0.4,名字,无需改,Location
r3,GasemaDam,茹特拉大坝,茹特拉大坝,19115,10156,19115,10156,0.4,名字,无需改,Location
r3,GasemaRiver,茹特拉河,茹特拉河,17036,10398,17036,10398,0.2,名字,无需改,Location
r3,GashamaHill,更格尔山丘,更格尔山丘,13361,8182,13361,8182,0.4,名字,无需改,Location
r3,GashamahiMt,更格尔山,更格尔山,14344,9360,14344,9360,0.2,名字,无需改,Location
r3,GatakaraPond,科摩罗池塘,科摩罗池塘,11025,12326,11025,12326,0.2,名字,无需改,Location
r3,GatinLake,密兹达湖,密兹达湖,17507,7451,17507,7451,0.4,名字,无需改,Location
r3,GenLake,丘萨茨湖,丘萨茨湖,16373,7614,16373,7614,0.1,名字,无需改,Location
r3,GeraRiver,默米河,默米河,17643,13905,17643,13905,0.3,名字,无需改,Location
r3,GerudoCanyon,格鲁德峡谷,格鲁德峡谷,7384,14432,7384,14432,0.5,名字,无需改,Location
r3,GerudoSummit,格鲁德山顶,格鲁德山顶,3791,11398,3791,11398,0.4,名字,无需改,Location
r3,GiankonIsland,玛科莱岛,玛科莱岛,11481,5613,11481,5613,0.5,名字,无需改,Location
r3,GibogaHill,八爪怪森林,八爪怪森林,18714,3841,18714,3841,0.3,名字,无需改,Location
r3,GibururuMt,露朵山,露朵山,18486,10190,18486,10190,0.6,名字,无需改,Location
r3,GigiLake,波奈湖,波奈湖,16168,9973,16168,9973,0.4,名字,无需改,Location
r3,GiminoPond,乌尔希池塘,乌尔希池塘,19443,13811,19443,13811,0.5,名字,无需改,Location
r3,GimpoMt,花柔莉亚山,花柔莉亚山,15862,15556,15862,15556,0.5,名字,无需改,Location
r3,GisaHill,吉萨山丘,吉萨山丘,4723,8102,4723,8102,0.4,名字,无需改,Location
r3,GishiHill,吉希山丘,吉希山丘,5044,8642,5044,8642,0.4,名字,无需改,Location
r3,GobyMt,卡尔山,卡尔山,17133,16950,17133,16950,0.5,名字,无需改,Location
r3,GoinaPlateau,皮埃尔高地,皮埃尔高地,16426,11888,16426,11888,0.2,名字,无需改,Location
r3,GoronSpa,鼓隆温泉,鼓隆温泉,15552,5489,15552,5489,0.4,名字,无需改,Location
r3,GoyoLake,红叶湖,红叶湖,20536,3965,20536,3965,0.3,名字,无需改,Location
r3,GumaroValley,乌奥谷,乌奥谷,16939,16520,16939,16520,0.3,名字,无需改,Location
r3,GutinizaPlain,古奇尼扎平原,古奇尼扎平原,13740,16727,13740,16727,0.5,名字,无需改,Location
r3,GyunaIsland,阿克伦岛,阿克伦岛,21303,7946,21303,7946,0.4,名字,无需改,Location
r3,HagoromoLake,哈格罗莫湖,哈格罗莫湖,15421,11897,15421,11897,0.4,名字,无需改,Location
r3,HamiyonPlain,奥布力平原,奥布力平原,18120,13767,18120,13767,0.4,名字,无需改,Location
r3,HarayaLake,哈拉亚池塘,哈拉亚池塘,12753,16956,12753,16956,0.3,名字,无需改,Location
r3,HashibiroLake,哈希毕罗湖,哈希毕罗湖,5233,7532,5233,7532,0.4,名字,无需改,Location
r3,HatenoBay,奇塔诺湾,奇塔诺湾,19369,15007,19369,15007,0.3,名字,无需改,Location
r3,HatenoBeach,哈特诺海滩,哈特诺海滩,20033,14629,20033,14629,0.4,名字,无需改,Location
r3,HatenokoIsland,哈特诺小岛,哈特诺小岛,20017,15890,20017,15890,0.5,名字,无需改,Location
r3,HawkMt,库荷山,库荷山,4331,7346,4331,7346,0.5,名字,无需改,Location
r3,HeburaEastSummit,海布拉山东岳,海布拉山东岳,6494,3893,6494,3893,0.5,名字,无需改,Location
r3,HeburaIcicle,冰冻山麓,冰冻山麓,3309,2513,3309,2513,0.5,名字,无需改,Location
r3,HeburaMt_North,海布拉北峰,海布拉北峰,4921,2520,4921,2520,0.6,名字,无需改,Location
r3,HeburaNorthSummit,海布拉山北岳,海布拉山北岳,4033,2775,4033,2775,0.5,名字,无需改,Location
r3,HeburaPeak,海布拉山山顶,海布拉山山顶,6459,4173,6459,4173,0.6,名字,无需改,Location
r3,HeburaSouthSummit,海布拉山南岳,海布拉山南岳,5058,4848,5058,4848,0.6,名字,无需改,Location
r3,HeburaTundera,海布拉冻原,海布拉冻原,5210,3404,5210,3404,0.1,名字,无需改,Location
r3,HeburaWestSummit,海布拉山西岳,海布拉山西岳,3089,3658,3089,3658,0.6,名字,无需改,Location
r3,HemaHill,海马高地,海马高地,3521,10306,3521,10306,0.3,名字,无需改,Location
r3,HesonaiValley,亚娜谷,亚娜谷,8264,15634,8264,15634,0.4,名字,无需改,Location
r3,HigakkareBeach,东阿卡莱海岸,东阿卡莱海岸,20707,5199,20707,5199,0.5,名字,无需改,Location
r3,HigakkarePlain,东阿卡莱平原,东阿卡莱平原,20192,5703,20192,5703,0.6,名字,无需改,Location
r3,HigashinoBay,奥克诺湾,奥克诺湾,20567,14711,20567,14711,0.3,名字,无需改,Location
r3,HimeidaMt,席美达山,席美达山,17097,14922,17097,14922,0.3,名字,无需改,Location
r3,HopeBridge,许愿河畔,许愿河畔,17503,9826,17503,9826,0.5,名字,无需改,Location
r3,HyliaMt,海利亚山,海利亚山,9446,14360,9446,14360,0.6,名字,无需改,Location
r3,HyliaRiver,黄泉河,黄泉河,9544,13962,9544,13962,0.6,名字,无需改,Location
r3,HyralIslands,海利亚岛,海利亚岛,11340,15276,11340,15276,0.6,名字,无需改,Location
r3,Hyrule_Out,海拉鲁城堡护城河,海拉鲁城堡护城河,11417,7485,11417,7485,0.4,名字,无需改,Location
r3,IbaraPlateau,伊巴拉高地,伊巴拉高地,13530,17579,13530,17579,0.6,名字,无需改,Location
r3,IkokoPlateau,托洛伊瓦高原,托洛伊瓦高原,20886,10709,20886,10709,0.2,名字,无需改,Location
r3,ImeruMt,艾尔姆丘陵,艾尔姆丘陵,11149,6492,11149,6492,0.5,名字,无需改,Location
r3,IooValley,贝莱谷,贝莱谷,16545,8581,16545,8581,0.5,名字,无需改,Location
r3,IrimoLake,鼓大湖,鼓大湖,15425,6970,15425,6970,0.4,名字,无需改,Location
r3,IrimoRiver,鼓大河,鼓大河,15133,6314,15133,6314,0.4,名字,无需改,Location
r3,IsakiCape,伊萨奇海角,伊萨奇海角,19600,17314,19600,17314,0.1,名字,无需改,Location
r3,IsakuIslands,千之中州,千之中州,14623,11070,14623,11070,0.4,名字,无需改,Location
r3,JedaPlateau,梅竹台地,梅竹台地,7598,13647,7598,13647,0.2,名字,无需改,Location
r3,JijigegeMt,洛兹伍德山,洛兹伍德山,16755,14390,16755,14390,0.5,名字,无需改,Location
r3,JiuRiver,卓拉河,卓拉河,17316,9271,17316,9271,0.5,名字,无需改,Location
r3,KagossaMt,卡格萨群山,卡格萨群山,10887,16445,10887,16445,0.4,名字,无需改,Location
r3,KaiyanPlain,阿拉布平原,阿拉布平原,17229,11181,17229,11181,0.1,名字,无需改,Location
r3,KakamoLake,特洽湖,特洽湖,15416,11579,15416,11579,0.5,名字,无需改,Location
r3,KakaomePlain,巴奇平原,巴奇平原,10197,7130,10197,7130,0.4,名字,无需改,Location
r3,KakufusaPlain,草笛山丘,草笛山丘,12304,11704,12304,11704,0.6,名字,无需改,Location
r3,KamasuPlateau,卡玛斯台地,卡玛斯台地,14873,15978,14873,15978,0.1,名字,无需改,Location
r3,KamutariPlateau,法兰台地,法兰台地,17019,12451,17019,12451,0.5,名字,无需改,Location
r3,KapporeMt,卡坡莱山,卡坡莱山,10149,15258,10149,15258,0.4,名字,无需改,Location
r3,KarimikiLake,库斯湖,库斯湖,18123,14084,18123,14084,0.4,名字,无需改,Location
r3,KarusaValley,卡尔萨谷,卡尔萨谷,3384,13709,3384,13709,0.4,名字,无需改,Location
r3,KasuraMt,卡斯拉山,卡斯拉山,5447,5165,5447,5165,0.5,名字,无需改,Location
r3,KattoriPlateau,费罗龙台地,费罗龙台地,13112,14975,13112,14975,0.4,名字,无需改,Location
r3,KaturaRiver,希麦加米河,希麦加米河,8885,11843,8885,11843,0.1,名字,无需改,Location
r3,KauLake,海布拉湖,海布拉湖,5856,5730,5856,5730,0.5,名字,无需改,Location
r3,KazanaDungeon,卡扎那裂谷,卡扎那裂谷,18909,3491,18909,3491,0.6,名字,无需改,Location
r3,KazuryuLake,卡兹溜湖,卡兹溜湖,13856,15166,13856,15166,0.4,名字,无需改,Location
r3,KazuryuRiver,卡兹溜河,卡兹溜河,14047,15525,14047,15525,0.3,名字,无需改,Location
r3,KazusuPass,凯坡拉岭,凯坡拉岭,20230,7587,20230,7587,0.5,名字,无需改,Location
r3,KibakkaSnow,海布拉水源,海布拉水源,6339,5168,6339,5168,0.4,名字,无需改,Location
r3,KibinaLake,奇比纳湖,奇比纳湖,14034,17024,14034,17024,0.5,名字,无需改,Location
r3,KihirePlain,奇希莱平原,奇希莱平原,14986,15735,14986,15735,0.7,名字,无需改,Location
r3,KikinosaMt,拉布拉山,拉布拉山,8113,7484,8113,7484,0.3,名字,无需改,Location
r3,KikinosaPlain,拉布拉山丘,拉布拉山丘,7537,7310,7537,7310,0.3,名字,无需改,Location
r3,KimarikaMt,觉醒山,觉醒山,17825,12926,17825,12926,0.3,名字,无需改,Location
r3,KimarikaPlateau,卡伊更高地,卡伊更高地,18402,12772,18402,12772,0.5,名字,无需改,Location
r3,KingValley,忘却神殿,忘却神殿,8865,5763,8865,5763,0.4,名字,无需改,Location+LocationMarker
r3,KinmePlateau,柯荷利特台地,柯荷利特台地,21308,17441,21308,17441,0.4,名字,无需改,Location
r3,KinshoiMt,达夫奈斯山,达夫奈斯山,9790,11112,9790,11112,0.5,名字,无需改,Location
r3,KirisasaPlateau,拉聂尔高地,拉聂尔高地,17859,12490,17859,12490,0.4,名字,无需改,Location
r3,KiriyabuMt,波努鲁山地,波努鲁山地,16306,12261,16306,12261,0.5,名字,无需改,Location
r3,KitakkareBeach,北阿卡莱海岸,北阿卡莱海岸,21435,4153,21435,4153,0.4,名字,无需改,Location
r3,KitakkarePlain,北阿卡莱平原,北阿卡莱平原,19607,4353,19607,4353,0.4,名字,无需改,Location
r3,KitakkarePlateau,北阿卡莱高地,北阿卡莱高地,20350,4234,20350,4234,0.3,名字,无需改,Location
r3,KiyanbaTrees,齐洛利森林,齐洛利森林,14042,7247,14042,7247,0.4,名字,无需改,Location
r3,KoganeyaLake,科嘉奈亚池塘,科嘉奈亚池塘,17990,15832,17990,15832,0.5,名字,无需改,Location
r3,KokuppiSnow,柯库皮雪原,柯库皮雪原,7309,4983,7309,4983,0.1,名字,无需改,Location
r3,KokuwaLake,塔莫沼泽,塔莫沼泽,15956,13685,15956,13685,0.3,名字,无需改,Location
r3,KomoreBeach,科莫莱海滩,科莫莱海滩,13398,17865,13398,17865,0.5,名字,无需改,Location
r3,KondanaLake,达鲁波池塘,达鲁波池塘,16673,5915,16673,5915,0.4,名字,无需改,Location
r3,KoshaIsland,戴比岛,戴比岛,21274,8784,21274,8784,0.4,名字,无需改,Location
r3,KuhanLake,库罕池塘,库罕池塘,17576,15461,17576,15461,0.6,名字,无需改,Location
r3,KukujaValley,库库甲谷,库库甲谷,5030,9641,5030,9641,0.3,名字,无需改,Location
r3,KumPlateau,库姆之地,库姆之地,3780,4299,3780,4299,0.3,名字,无需改,Location
r3,KunaiLake,亚阔湖,亚阔湖,10013,12326,10013,12326,0.4,名字,无需改,Location
r3,KurindaPrairie,卡萨伊美平原,卡萨伊美平原,11334,17366,11334,17366,0.3,名字,无需改,Location
r3,KurisobeSnow,贝利尔雪原,贝利尔雪原,2887,12182,2887,12182,0.5,名字,无需改,Location
r3,KuroidaPlateau,克洛伊达高地,克洛伊达高地,16263,15206,16263,15206,0.7,名字,无需改,Location
r3,KutenLake,库坦池塘,库坦池塘,17402,15890,17402,15890,0.3,名字,无需改,Location
r3,KutiffMt,罗姆山,罗姆山,6618,8448,6618,8448,0.1,名字,无需改,Location
r3,LakeFloria,花柔莉亚湖,花柔莉亚湖,15476,17064,15476,17064,0.3,名字,无需改,Location
r3,LanayruBay,拉聂尔湾,拉聂尔湾,19628,11226,19628,11226,0.2,名字,无需改,Location
r3,LaveBeach,拉贝岩礁,拉贝岩礁,11651,17700,11651,17700,0.1,名字,无需改,Location
r3,MacusePeninsula,马秋兹半岛,马秋兹半岛,21233,5514,21233,5514,0.2,名字,无需改,Location
r3,MakuminoValley,玛克米诺谷,玛克米诺谷,12191,16789,12191,16789,0.5,名字,无需改,Location
r3,ManbaLake,鼓洛斯湖,鼓洛斯湖,15730,5092,15730,5092,0.4,名字,无需改,Location
r3,MarittaHill,玛丽塔山丘,玛丽塔山丘,9321,6955,9321,6955,0.3,名字,无需改,Location
r3,MarittaPrairie,玛丽塔平原,玛丽塔平原,8643,6557,8643,6557,0.3,名字,无需改,Location
r3,MasazuRock,碎石场遗迹,碎石场遗迹,10548,9172,10548,9172,0.4,名字,无需改,Location
r3,MedakaValley,乌尔拉峡谷,乌尔拉峡谷,20405,8436,20405,8436,0.5,名字,无需改,Location
r3,MeganeRock,眼镜岩,眼镜岩,7556,15076,7556,15076,0.2,名字,无需改,Location
r3,MemeMt,雷兽山,雷兽山,19704,8865,19704,8865,0.3,名字,无需改,Location
r3,MenadaBeach,阿莫西亚海岸,阿莫西亚海岸,21207,13660,21207,13660,0.4,名字,无需改,Location
r3,MerkayaLowTrees,奥布巴巴草地,奥布巴巴草地,9544,15451,9544,15451,0.2,名字,无需改,Location
r3,MezusuPass,卡尔加岭,卡尔加岭,4838,5274,4838,5274,0.3,名字,无需改,Location
r3,MiddleTrees,多尔米森林,多尔米森林,18202,14327,18202,14327,0.5,名字,无需改,Location
r3,MihekoBay,玛林湾,玛林湾,20811,6198,20811,6198,0.6,名字,无需改,Location
r3,MinakkareFalls,南阿卡莱瀑布,南阿卡莱瀑布,19465,7682,19465,7682,0.1,名字,无需改,Location
r3,MinakkareLake,南阿卡莱湖,南阿卡莱湖,19246,7874,19246,7874,0.5,名字,无需改,Location
r3,MinakkarePlain,南阿卡莱平原,南阿卡莱平原,18551,7353,18551,7353,0.2,名字,无需改,Location
r3,MinaminoBay,米诺米诺湾,米诺米诺湾,18962,15760,18962,15760,0.2,名字,无需改,Location
r3,MizemakuMt,沃尔纳特山,沃尔纳特山,20340,13844,20340,13844,0.0,名字,无需改,Location
r3,MomoMt,天望山丘,天望山丘,11958,13797,11958,13797,0.5,名字,无需改,Location
r3,MoriMt,乌尔利山,乌尔利山,19225,5814,19225,5814,0.3,名字,无需改,Location
r3,MoroLake,米考湖,米考湖,19202,8857,19202,8857,0.3,名字,无需改,Location
r3,MorudaMt,摩尔达巴山,摩尔达巴山,9217,17200,9217,17200,0.4,名字,无需改,Location
r3,MorugaMt,摩尔迦娜山,摩尔迦娜山,9248,16723,9248,16723,0.2,名字,无需改,Location
r3,MuguriPlain,克罗切利平原,克罗切利平原,16266,13828,16266,13828,0.5,名字,无需改,Location
r3,NaganizaHill,腾图丘陵,腾图丘陵,16764,16801,16764,16801,0.5,名字,无需改,Location
r3,NagyuPlateau,塔尔塔尔台地,塔尔塔尔台地,20294,9322,20294,9322,0.4,名字,无需改,Location
r3,NaierunPeninsula,罗德拉姆半岛,罗德拉姆半岛,20890,11283,20890,11283,0.5,名字,无需改,Location
r3,NanaimoPlain,拉明平原,拉明平原,9563,5949,9563,5949,0.4,名字,无需改,Location
r3,NangoPond,泽罗池塘,泽罗池塘,15293,8978,15293,8978,0.3,名字,无需改,Location
r3,NaruguPeninsula,卡艾德半岛,卡艾德半岛,21326,14744,21326,14744,0.4,名字,无需改,Location
r3,NefraHill,奈弗拉高地,奈弗拉高地,7667,13019,7667,13019,0.4,名字,无需改,Location
r3,NezuppoTrees,奈兹坡树林,奈兹坡树林,11321,17134,11321,17134,0.4,名字,无需改,Location
