label,simplified_chinese
EastGerudoRuins,东格鲁德遗迹
EastPostTownRuin,东部的驿站村废墟
EastShrine,东部神殿遗迹
ElegLake,纳比湖
EnRiver,爱恩河
EquePlateau,安吉尔台地
ErumedaPlateau,艾美拉尔台地
Execution,监狱遗迹
ExpaTrees,艾奇斯帕森林
EzzuBridge,伊格尔斯桥
FairyForest,精灵森林
FaronHatago000,双子驿站
FaronHatago001,湖畔驿站
FaronHatago002,高原驿站
FenaMt,娜波露山
FeoreRiver,玛科莱湖
FinrasForest,芬拉斯树海
FironeForestEntrance,费罗尼树海入口
FlamingoSpa,明弗拉的秘泉
FlogPond,青蛙池塘
FloriaBridge,花柔莉亚桥
FloriaFalls,花柔莉亚大瀑布
FloriaRiver,花柔莉亚河
FlowerSandbank,花之中州
ForestHatago,森林驿站
FrontGatePosttown,门前驿站村遗迹
FuruboLake,幽芬湖
GakanakkyoPlain,西海拉鲁平原
GameBalling,彭多的小屋
GameBitalockGolf,库库甲谷球场
GameGutsCriff,毅力崖
GameMarathon,马拉松报名处
GameShiledSurf,丝莱米的小屋
GameYabusame,骑射演武报名处
GameZarashiRace,沙海象拉力赛报名处
GamettaPlateau,卡琳高原
GaneLake,洁净池塘
GarakishiPass,夏特岭
GarakishiVillage,夏特村落遗迹
GasemaDam,茹特拉大坝
GasemaRiver,茹特拉河
GashamaHill,更格尔山丘
GashamahiMt,更格尔山
GatakaraGarrison,科摩罗驻军地遗迹
GatakaraPond,科摩罗池塘
GatinLake,密兹达湖
GenLake,丘萨茨湖
GeraRiver,默米河
GerudoCanyon,格鲁德峡谷
GerudoCanyon_Entrance,格鲁德峡谷入口
GerudoDesert_Entrance,格鲁德沙漠入口
GerudoFossil,格鲁德大化石
GerudoHatago,格鲁德峡谷驿站
GerudoSummit,格鲁德山顶
GiankonIsland,玛科莱岛
GibogaHill,八爪怪森林
GibururuMt,露朵山
GigiLake,波奈湖
GiminoPond,乌尔希池塘
GimpoMt,花柔莉亚山
GisaHill,吉萨山丘
GishiHill,吉希山丘
GoanaValley,葛亚娜峡谷
GobyMt,卡尔山
GoinaPlateau,皮埃尔高地
GoronBridge,鼓隆桥
GoronSpa,鼓隆温泉
GoyoLake,红叶湖
GumaroValley,乌奥谷
GutinizaPlain,古奇尼扎平原
GutinizaPlainTomb,古奇尼扎平原古墓群
GyunaIsland,阿克伦岛
HachijoBridge,阿乌尔桥
HagoromoFalls,哈格罗莫瀑布
HagoromoLake,哈格罗莫湖
HamiyonPlain,奥布力平原
HarayaLake,哈拉亚池塘
HashibiroLake,哈希毕罗湖
HatenoBay,奇塔诺湾
HatenoBeach,哈特诺海滩
HatenoGate,哈特诺堡垒
HatenoLabo,哈特诺古代研究所
HatenokoIsland,哈特诺小岛
HawkMt,库荷山
HeburaEastSummit,海布拉山东岳
HeburaFossil,海布拉大化石
HeburaIcicle,冰冻山麓
HeburaLodge,海布拉山脉登山口小屋
HeburaMt_North,海布拉北峰
HeburaNorthSummit,海布拉山北岳
HeburaPeak,海布拉山山顶
HeburaSouthSummit,海布拉山南岳
HeburaTundera,海布拉冻原
HeburaWestSummit,海布拉山西岳
HemaHill,海马高地
HesonaiValley,亚娜谷
HigakkareBeach,东阿卡莱海岸
HigakkarePlain,东阿卡莱平原
HigashinoBay,奥克诺湾
HimeidaMt,席美达山
HopeBridge,许愿河畔
HopesPlateau,初始台地
HyliaMt,海利亚山
HyliaRiver,黄泉河
HyralBridge,海利亚大桥
HyralIslands,海利亚岛
HyruleCastle_Hall_0,主殿
HyruleCastle_Hall_1,二殿
HyruleCastle_Hall_2,三殿
HyruleCastle_Room_0,观察室
HyruleCastle_Room_10,东坑道
HyruleCastle_Room_11,西坑道
HyruleCastle_Room_2,训练所
HyruleCastle_Room_3,图书馆
HyruleCastle_Room_5,牢房
HyruleCastle_Room_6,塞尔达的房间
HyruleCastle_Room_7,船坞
HyruleCastle_Room_8,塞尔达的研究室
HyruleCastle_Room_9,国王的书房
HyruleCentralPlace,中央广场遗迹
HyruleDepthHatago,平原外围的驿站
HyruleEastTown,东海拉鲁城邑遗迹
HyruleGarrison,海拉鲁驻军地遗迹
HyruleGround,海拉鲁大地
HyruleLabo,王室古代研究所遗迹
HyrulePark,海拉鲁森林公园遗迹
HyrulePlace,海拉鲁军事演习场遗迹
HyruleTemple,海拉鲁大圣堂遗迹
HyruleTower,城邑监视塔遗迹
HyruleWater,蓄水池遗迹
HyruleWestHatago,玛丽塔驿站
HyruleWestTown,西海拉鲁城邑遗迹
Hyrule_Out,海拉鲁城堡护城河
IbaraPlateau,伊巴拉高地
IceHouse,北部冰屋
IkokoPlateau,托洛伊瓦高原
ImeruMt,艾尔姆丘陵
IooValley,贝莱谷
IrimoLake,鼓大湖
IrimoRiver,鼓大河
IsakiCape,伊萨奇海角
IsakuIslands,千之中州
JedaPlateau,梅竹台地
JijigegeMt,洛兹伍德山
JiuRiver,卓拉河
JogoBridge,莱波纳桥
JokuBridge,莫约里桥
KagossaMt,卡格萨群山
KaiyanPlain,阿拉布平原
KakamoLake,特洽湖
KakaomePlain,巴奇平原
Kakariko,卡卡利科村
KakufusaPlain,草笛山丘
KamasuPlateau,卡玛斯台地
KamutariPlateau,法兰台地
KapporeMt,卡坡莱山
KarimikiLake,库斯湖
KarusaValley,卡尔萨谷
KasuraMt,卡斯拉山
KattoriPlateau,费罗龙台地
KaturaCastle,贤者之神殿遗迹
KaturaRiver,希麦加米河
KauLake,海布拉湖
KazanaDungeon,卡扎那裂谷
KazuryuLake,卡兹溜湖
KazuryuRiver,卡兹溜河
KazusuPass,凯坡拉岭
KibakkaSnow,海布拉水源
KibinaLake,奇比纳湖
KihirePlain,奇希莱平原
KikinosaMt,拉布拉山
KikinosaPlain,拉布拉山丘
KimarikaMt,觉醒山
KimarikaPlateau,卡伊更高地
KingValley,忘却神殿
KingfisherSpa,泽卡瓦米的秘泉
KinmePlateau,柯荷利特台地
KinshoiMt,达夫奈斯山
KirisasaPlateau,拉聂尔高地
KiriyabuMt,波努鲁山地
KitakkareBeach,北阿卡莱海岸
KitakkarePlain,北阿卡莱平原
KitakkarePlateau,北阿卡莱高地
KitanoBay,哈特诺湾
KiyanbaTrees,齐洛利森林
KochuBridge,卡卡利科桥
KoganeyaLake,科嘉奈亚池塘
KokuppiSnow,柯库皮雪原
KokuwaLake,塔莫沼泽
KomoreBeach,科莫莱海滩
KondanaLake,达鲁波池塘
KoshaIsland,戴比岛
KuhanLake,库罕池塘
KukujaValley,库库甲谷
KumPlateau,库姆之地
KumSpa,库姆的秘泉
KunaiBridge,亚阔桥
KunaiLake,亚阔湖
KurindaPrairie,卡萨伊美平原
KurisobeSnow,贝利尔雪原
KuroidaPlateau,克洛伊达高地
KutenLake,库坦池塘
KutiffMt,罗姆山
LakeFloria,花柔莉亚湖
LakeHylia,海利亚湖
LanayruBay,拉聂尔湾
LanayruEastEntrance,拉聂尔神道东口
LanayruWestEntrance,拉聂尔神道西口
LaveBeach,拉贝岩礁
LeMarbeBridge,杰德桥
LightningPlateau,雷之台地
LittleBrotherBridge,双子弟弟桥
LocationDungeon,古代神庙
LomeiIslands,洛美岛
LostForest,迷失的森林
MacusePeninsula,马秋兹半岛
MakuminoValley,玛克米诺谷
ManbaLake,鼓洛斯湖
MapArea_CentralHyrule,海拉鲁平原
MapArea_DeathMountain,死亡之山
MapArea_EastHateru,东哈特尔
MapArea_EldinCanyon,奥尔汀峡谷
MapArea_EldinMountains,奥尔汀山脉
MapArea_FironeGrassland,费罗尼草原
MapArea_FironeSea,费罗尼海
MapArea_GerudoDesert,格鲁德沙漠
MapArea_GerudoHighlands,格鲁德高地
MapArea_HateruSea,哈特尔海
MapArea_HeburaMountains,海布拉山脉
MapArea_HyliaLake,海利亚湖
MapArea_HyruleForest,海拉鲁大森林
MapArea_HyruleHill,海拉鲁丘陵
MapArea_LanayruSea,拉聂尔海
MapArea_LanayruWaterSources,拉聂尔大水源
MapArea_LanayruWetlands,拉聂尔湿地
MapArea_LiveMountain,拉聂尔山
MapArea_TabantaFrontier,塔邦挞边境
MapArea_TamulOutback,深远阿卡莱
MapArea_TamulPlateau,阿卡莱高原
MapArea_TamulSea,阿卡莱海
MapArea_WestHateru,西哈特尔
MapRegion_Eldin,奥尔汀地区
MapRegion_Firone,费罗尼地区
MapRegion_Gerudo,格鲁德地区
MapRegion_Hateru,哈特尔地区
MapRegion_Hebura,海布拉地区
MapRegion_HyrulePrairie ,中央海拉鲁
MapRegion_Lanayru,拉聂尔地区
MapRegion_Tamul,阿卡莱地区
MarittaHill,玛丽塔山丘
MarittaPrairie,玛丽塔平原
MaronSpring,马泷之泉
MarritaExchange,玛丽塔交易所遗迹
MasazuBridge,欧荷利桥
MasazuRock,碎石场遗迹
MedakaValley,乌尔拉峡谷
MeganeRock,眼镜岩
MemeMt,雷兽山
MenadaBeach,阿莫西亚海岸
MerkayaLowTrees,奥布巴巴草地
MezusuPass,卡尔加岭
MiddleTrees,多尔米森林
MihekoBay,玛林湾
MinakkareBridge,南阿卡莱桥
MinakkareBridgeEast,东南阿卡莱桥
MinakkareBridgeWest,西南阿卡莱桥
MinakkareFalls,南阿卡莱瀑布
MinakkareLake,南阿卡莱湖
MinakkarePlain,南阿卡莱平原
MinaminoBay,米诺米诺湾
Mine,废弃的北部矿坑
MizemakuMt,沃尔纳特山
MomoMt,天望山丘
MoriMt,乌尔利山
MoroLake,米考湖
MorudaMt,摩尔达巴山
MorugaMt,摩尔迦娜山
MuguriPlain,克罗切利平原
NaganizaHill,腾图丘陵
NagyuPlateau,塔尔塔尔台地
NaierunPeninsula,罗德拉姆半岛
NanaimoPlain,拉明平原
NangoPond,泽罗池塘
NantanCastle,南洛美城堡遗迹
NaruguPeninsula,卡艾德半岛
NefraHill,奈弗拉高地
NezuppoTrees,奈兹坡树林
NiiLake,珊湖
NikakaIsland,蟹蟹岛
NishakkarePlain,卡纳莱特高原
NishojiBridge,古利奥桥
NitariBeach,科尔奈海滩
NomyPlain,齐纳嘉莱湿地带
NorthHatelHatago,湿地驿站
NorthHugeStone,北格鲁德巨石
NutsLake,萨莉娅湖
Oasis,卡拉卡拉集市
OkuAkkarePlain,深远阿卡莱平原
OkuwaLake,谢拉湖
OngiForest,苹果森林
OoosePlain,奥赛平原
OrdinBridge,奥尔汀桥
OrdinFossil,奥尔汀大化石
OrupaPlateau,澳尔帕台地
OsanjoBridge,芬萨桥
OshoromaLake,露朵湖
OtsukoWet,塔林湿地
PafaBeach,帕发海岸
PaiyuBay,荷隆湾
PakanchiIsland,纳克仑岛
PaparaPlateau,斯塔尔里台地
PearlWaste,帕鲁荒原
PeridoBarrier,贝立德关卡
PongagaMt,艾波尼山
PoponMt,萨托利山
PostTownRuin,海拉鲁驿站村废墟
PowerFountain,力量之泉
PstaLake,米德沼泽
PukiroroMt,杜·邦山脉
PukuntoMt,无底沼泽
PupukoreFalls,塞拉瀑布
Quilton,怪物商店
RaberaWet,拉贝拉湿地带
RapikuruPlateau,加卜台地
RapinyaPlateau,露朵台地
RaruLake,克拉尔湖
RashamaPlain,北海拉鲁平原
RazezePlateau,拉聂尔台地
RemainsElectric,神兽瓦·娜波力斯
RemainsFire,神兽瓦·鲁达尼亚
RemainsWater,神兽瓦·露塔
RemainsWind,神兽瓦·梅德
RiaroTrees,希克里森林
RiberaForest,利贝拉树海
RibuchaPlateau,阿尔达台地
Rikona_Peninshra,利科纳半岛
RinosPass,利诺斯岭
RirikendoBridge,欧兰桥
RirimukuHighlands,沃尔纳高地
RirimukuMt,沃尔纳山
RiritotoLake,利利特特湖
RishakutoPlateau,纳利夏高地
RitoHatago,利特驿站
RiverSideHatago,河畔驿站
RodaiLake,罗达伊湖
RogyLake,贾拉湖
RokomakuMt,玛德罗纳山
RonronCity,麦贝镇遗迹
RonronFarm,平原牧场遗迹
RonronRiver,海利亚河
RoshiganLake,南纳比湖
RosomaLake,托托湖
RuberaHill,马克雅林高地
RutesLake,路特斯湖
RutimaHill,鲁奇玛高地
RutsuPlain,路茨平原
SaiMt,古斯塔夫山
SaihokuCastle,北洛美城堡遗迹
SanaePlateau,包美尔高地
SanrosaLake,鲁皮湖
SaohPoint,三叉山道
SaphiasPlateau,萨菲亚斯台地
SarjonBridge,撒戎桥
SarjonForest,撒戎树海
SasamuroBeach,克拉里海滩
ShariverMt,夏利巴山
ShichijoBridge,荷奈尔桥
ShigonDam,拉聂尔神道中央广场
ShijoBridge,马兹拉桥
ShikuriIslands,文特岛
ShimukaPlateau,布莱德台地
ShinikkyoForest,巨人森林
ShinyarkiPlateau,劳鲁丘陵
ShinyarkiVillage,劳鲁村落遗迹
ShitanoPond,塔尔荷池塘
SnowStatue,第八位英雄的雕像
SojijiHill,萨尔法山丘
SojijiPark,撒丁公园遗迹
SonoPrairie,贝莱平原
SoridaPeninsula,奇克伦岛
SotonkaBridge,泰斯塔桥
SouthGerudoLegacy,刑场遗迹
SouthGerudoRuins,南部绿洲
SouthMine,南部采矿场
StartPoint,复苏神庙
StonePillers,古代石柱群
SugrantForest,思古兰特树海
SusonoLake,卢驰尔湖
SusonoPlain,伊露美娜台地
SusonoPond,伊露美娜池塘
SusonoRiver,泰阿蒙河
SusukadiBridge,达尔布尔桥
SwanLake,海布拉河
TabantaBridge,塔邦挞大桥
TabantaBridgeHatago,塔邦挞大桥驿站
TabantaCrater,吉萨的环形山
TabantaHatago,雪原驿站
TabantaHill,塔邦挞山丘
TabantaSnow_North,北塔邦挞雪原
TabantaSnow_South,南塔邦挞雪原
TabantaVillage,塔邦挞村遗迹
TafeaHill,塔菲亚高地
TagonaTrees,塔巴尔森林
TakkikaPlain,尼凯尔平原
TamaLake,塔玛湖
TamourHatago,东阿卡莱驿站
TamulPlain,奥尔龙盆地
TamurulHatago_02,南阿卡莱驿站
TargarPlain,布兰努山丘
TaruhoPlateau,火萤台地
TaserakaBridge,密斯密桥
TatsubaLake,莫尔赛湖
Taura,沃托里村
TeguriPlain,泰格利平原
TehotaWet,泰荷塔湿地
TennoMt,瓦舒阿山丘
TeraPlain,麦贝草原
TerumeMt,泰尔美山
TerumePass,泰尔美岭
TimesShrine,时光之神殿遗迹
TohikiLake,托西奇池塘
TomiyoPlateau,洛塔托台地
TompoPlain,罗玛尼平原
ToriaBridge,波奇桥
TorumaDesert,卢玛琳沙丘
TotenLake,拉纳湖
TotsugeBridge,卡洛克桥
Tower01,海布拉之塔
Tower02,塔邦挞之塔
Tower03,格鲁德之塔
Tower04,荒野之塔
Tower05,森林之塔
Tower06,平原之塔
Tower07,初始之塔
Tower08,双子山之塔
Tower09,湖之塔
Tower10,奥尔汀之塔
Tower11,阿卡莱之塔
Tower12,拉聂尔之塔
Tower13,哈特诺之塔
Tower14,费罗尼之塔
Tower15,丘陵之塔
TrakaIsland_Big,迈尔卡岛
TrakaIsland_Center,科彭嘉岛
TrakaIsland_East,米奥乌岛
TrakaIsland_New,摩尔德岛
TrakaIsland_North,神庙岛
TrakaIsland_Small,波浓岛
TrakaIsland_South,萨乌兹岛
TrakaIsland_West,维斯岛
TryCape,尝试海角
TsukaiePlateau,茨卡耶台地
TuaboSnow,查波雪原
TunbriPlain,勇萨米平原
TurasuBridge,马神桥
TurasuLake,马神湖
TutukikiSnow,茨茨齐齐雪原
TwinsMountain,双子山
UMiiVillage,一始村
UbotsuPlateau,乌波茨台地
UchoPlateau,梅布尔高原
UkkoPond,乌克池塘
UraitoLake,乌拉伊特湖
UrokoCape,乌洛克海角
VPlateau,基尔克台地
ValleyVillage,飞行训练场
WabiLake,阿卡莱湖
WatakaPlateau,阔塔台地
WeaponCureSpring,大精灵之泉
WestEunpoHighlands,西埃文坡高地
WestGerudo,西格鲁德
WestGerudoRuins,西格鲁德遗迹
WetGarrison,湿地的驻军地遗迹
WhiteZora,卓拉领地
WiseFountain,智慧之泉
XehaPlateau,卓拉台地
XekuBridge,德谷多吊桥
YamabiLake,亚玛比湖
YamariRiver,诺凯河
YarimoRiver,米奇奇河
YashinoBeach,雅西诺海滩
YashinoLegacy,雅西诺遗迹
YuaSnow,聂尔龙雪原
ZamaPlain,塞莱斯平原
ZaridoLake,达鲁马湖
ZaridoPlateau,奥尔汀台地
ZifForest,时光森林
ZitoGreens,鸟鸣草原
ZonauLegacy,左纳乌遗迹群
ZoraBridge,卓拉大桥
